rank,team,rating,record,best_win,best_win_elo
1,GB,1948.8,14-6,PIT,1825.4
2,NE,1941.4,14-3,GB,1948.8
3,PIT,1825.4,14-5,NYJ,1805.9
4,NYJ,1805.9,13-6,NE,1941.4
5,BAL,1763.8,13-5,PIT,1825.4
6,CHI,1725,12-6,GB,1948.8
7,ATL,1724.7,13-4,GB,1948.8
8,PHI,1606.8,10-7,ATL,1724.7
9,IND,1585.4,10-7,NYG,1577.6
10,NYG,1577.6,10-6,CHI,1725
11,TB,1561.5,10-6,NO,1539.3
12,DET,1557.7,6-10,GB,1948.8
13,NO,1539.3,11-6,PIT,1825.4
14,MIA,1529.9,7-9,GB,1948.8
15,SD,1511.1,9-7,IND,1585.4
16,OAK,1496.7,8-8,SD,1511.1
17,MIN,1489.3,6-10,PHI,1606.8
18,DAL,1474.3,6-10,PHI,1606.8
19,CLE,1434.6,5-11,NE,1941.4
20,KC,1415.3,10-7,SD,1511.1
21,BUF,1411.7,4-12,DET,1557.7
22,HOU,1385.6,6-10,IND,1585.4
23,JAX,1377.8,8-8,IND,1585.4
24,CIN,1377.2,4-12,BAL,1763.8
25,WAS,1352.2,6-10,GB,1948.8
26,TEN,1348.8,6-10,PHI,1606.8
27,SF,1320.5,6-10,OAK,1496.7
28,SEA,1317.8,8-10,CHI,1725
29,STL,1289.3,7-9,SD,1511.1
30,DEN,1129.4,4-12,KC,1415.3
31,ARI,1097,5-11,NO,1539.3
32,CAR,1078.3,2-14,SF,1320.5
