rank,team,rating,record,best_win,best_win_elo
1,TB,1990.9,15-5,KC,1887.8
2,KC,1887.8,16-3,TB,1990.9
3,BUF,1860.5,15-4,BAL,1673.6
4,NO,1852.3,13-5,TB,1990.9
5,GB,1823.5,14-4,NO,1852.3
6,BAL,1673.6,12-6,IND,1610.5
7,LA,1650.9,11-7,TB,1990.9
8,SEA,1643.2,12-5,LA,1650.9
9,MIA,1620.9,10-6,LA,1650.9
10,IND,1610.5,11-6,GB,1823.5
11,CLE,1583.2,12-6,IND,1610.5
12,TEN,1572.3,11-6,BUF,1860.5
13,LAC,1564.9,7-9,KC,1887.8
14,PIT,1561.3,12-5,BAL,1673.6
15,ATL,1517.7,4-12,LV,1509.4
16,LV,1509.4,8-8,KC,1887.8
17,NE,1474.5,7-9,BAL,1673.6
18,ARI,1441.2,8-8,BUF,1860.5
19,WAS,1439,7-10,PIT,1561.3
20,CAR,1437.9,5-11,LAC,1564.9
21,DEN,1432.2,5-11,MIA,1620.9
22,CHI,1430.9,8-9,TB,1990.9
23,SF,1430.2,6-10,LA,1650.9
24,MIN,1396.8,7-9,GB,1823.5
25,NYG,1339,6-10,SEA,1643.2
26,DAL,1315.6,6-10,ATL,1517.7
27,CIN,1280.7,5-11,TEN,1572.3
28,HOU,1199.8,4-12,NE,1474.5
29,DET,1196.7,5-11,ATL,1517.7
30,PHI,1195.4,4-12,NO,1852.3
31,NYJ,1167,2-14,LA,1650.9
32,JAX,900,1-15,IND,1610.5
