rank,team,rating,record,best_win,best_win_elo
1,TB,1916.9,15-4,OAK,1804.4
2,OAK,1804.4,13-6,TEN,1718.8
3,PHI,1742.7,13-5,TB,1916.9
4,TEN,1718.8,12-6,PHI,1742.7
5,NYJ,1665.4,10-8,DEN,1580.8
6,PIT,1661,11-7,TB,1916.9
7,NYG,1623.4,10-7,PHI,1742.7
8,ATL,1617.5,11-7,PIT,1661
9,DEN,1580.8,9-7,KC,1565.7
10,GB,1567.4,12-5,ATL,1617.5
11,KC,1565.7,8-8,OAK,1804.4
12,NE,1563.5,9-7,NYJ,1665.4
13,CLE,1554.8,9-8,TEN,1718.8
14,MIA,1553,9-7,OAK,1804.4
15,SEA,1534.8,7-9,ATL,1617.5
16,NO,1534.7,9-7,TB,1916.9
17,SF,1527.9,11-7,OAK,1804.4
18,BUF,1516.3,8-8,MIA,1553
19,IND,1513.4,10-7,PHI,1742.7
20,STL,1480.9,7-9,OAK,1804.4
21,CAR,1466,7-9,CLE,1554.8
22,BAL,1450.2,7-9,TEN,1718.8
23,SD,1419.6,8-8,OAK,1804.4
24,WAS,1419.1,7-9,TEN,1718.8
25,JAX,1412.4,6-10,PHI,1742.7
26,MIN,1395.8,6-10,GB,1567.4
27,DAL,1260.4,5-11,TEN,1718.8
28,ARI,1254,5-11,NYG,1623.4
29,CHI,1202.8,4-12,NYJ,1665.4
30,HOU,1196.9,4-12,PIT,1661
31,CIN,1177,2-14,NO,1534.7
32,DET,1102.7,3-13,NO,1534.7
