rank,team,rating,record,best_win,best_win_elo
1,NE,1817.7,14-5,CHI,1786.5
2,CHI,1786.5,12-5,LA,1737.9
3,KC,1774.8,13-5,IND,1703.6
4,NO,1751.9,14-4,LA,1737.9
5,LA,1737.9,15-4,KC,1774.8
6,IND,1703.6,11-7,HOU,1649.6
7,LAC,1690.1,13-5,KC,1774.8
8,PIT,1669.8,10-6,NE,1817.7
9,BAL,1668.8,10-7,LAC,1690.1
10,SEA,1659.5,10-7,KC,1774.8
11,HOU,1649.6,11-6,IND,1703.6
12,PHI,1624.9,10-8,CHI,1786.5
13,DAL,1605.8,11-7,NO,1751.9
14,TEN,1590.5,9-7,NE,1817.7
15,CLE,1548.4,7-9,BAL,1668.8
16,MIN,1535.6,9-7,PHI,1624.9
17,CAR,1496.7,7-9,NO,1751.9
18,ATL,1455.3,7-9,CAR,1496.7
19,DET,1416.3,6-10,NE,1817.7
20,NYG,1400.3,5-11,CHI,1786.5
21,JAX,1366.9,5-11,NE,1817.7
22,BUF,1362.3,6-10,TEN,1590.5
23,TB,1360.7,5-11,NO,1751.9
24,CIN,1354.5,6-10,IND,1703.6
25,WAS,1337.6,7-9,DAL,1605.8
26,GB,1335.5,6-10,CHI,1786.5
27,DEN,1292.4,6-10,LAC,1690.1
28,SF,1242.8,4-12,SEA,1659.5
29,MIA,1235.5,7-9,NE,1817.7
30,NYJ,1223.7,4-12,IND,1703.6
31,OAK,1217.2,4-12,PIT,1669.8
32,ARI,1087.1,3-13,GB,1335.5
