rank,team,rating,record,best_win,best_win_elo
1,NE,1843.2,13-5,DEN,1819.2
2,BAL,1833.2,14-6,NE,1843.2
3,DEN,1819.2,13-4,BAL,1833.2
4,SEA,1813.9,12-6,NE,1843.2
5,SF,1813.2,13-6,NE,1843.2
6,ATL,1743,14-4,DEN,1819.2
7,GB,1726.1,12-6,HOU,1664.5
8,HOU,1664.5,13-5,BAL,1833.2
9,MIN,1651.1,10-7,SF,1813.2
10,WAS,1627.7,10-7,BAL,1833.2
11,NYG,1625.5,9-7,SF,1813.2
12,CHI,1601.4,10-6,MIN,1651.1
13,CIN,1598,10-7,BAL,1833.2
14,CAR,1561.6,7-9,ATL,1743
15,IND,1555.1,11-6,GB,1726.1
16,NO,1536,7-9,ATL,1743
17,STL,1509.3,8-8,SEA,1813.9
18,PIT,1492.2,8-8,BAL,1833.2
19,DAL,1486.8,8-8,NYG,1625.5
20,TB,1456.5,7-9,ATL,1743
21,MIA,1427.1,7-9,SEA,1813.9
22,SD,1420.7,7-9,PIT,1492.2
23,TEN,1364.6,6-10,PIT,1492.2
24,BUF,1360.3,6-10,MIA,1427.1
25,ARI,1328,5-11,NE,1843.2
26,CLE,1315.8,5-11,CIN,1598
27,NYJ,1303.6,6-10,IND,1555.1
28,DET,1234,4-12,SEA,1813.9
29,OAK,1157.1,4-12,PIT,1492.2
30,PHI,1116.8,4-12,BAL,1833.2
31,JAX,1036.9,2-14,IND,1555.1
32,KC,977.3,2-14,CAR,1561.6
