rank,team,rating,record,best_win,best_win_elo
1,KC,1940.9,17-3,CIN,1877.5
2,CIN,1877.5,14-5,KC,1940.9
3,PHI,1833.9,16-4,SF,1766
4,BUF,1811.9,14-4,KC,1940.9
5,SF,1766,15-5,DAL,1673.6
6,DAL,1673.6,13-6,CIN,1877.5
7,PIT,1622.3,9-8,CIN,1877.5
8,DET,1605.6,9-8,WAS,1560.3
9,WAS,1560.3,9-8,PHI,1833.9
10,JAX,1559.7,10-9,DAL,1673.6
11,BAL,1558.9,10-8,CIN,1877.5
12,MIN,1552,13-5,BUF,1811.9
13,NYG,1536.8,10-9,WAS,1560.3
14,GB,1534.6,8-9,DAL,1673.6
15,CLE,1513.3,7-10,CIN,1877.5
16,NE,1496.5,8-9,PIT,1622.3
17,NO,1495.5,7-10,PHI,1833.9
18,CAR,1492.5,7-10,DET,1605.6
19,SEA,1479.1,9-9,DET,1605.6
20,MIA,1478.9,9-9,BUF,1811.9
21,LAC,1462.3,10-8,CLE,1513.3
22,ATL,1425.1,7-10,SF,1766
23,TB,1409.1,8-10,DAL,1673.6
24,LV,1378.6,6-11,NE,1496.5
25,NYJ,1376.3,7-10,BUF,1811.9
26,TEN,1326.8,7-10,WAS,1560.3
27,LA,1261.6,5-12,CAR,1492.5
28,ARI,1226.1,4-13,NO,1495.5
29,CHI,1214.4,3-14,SF,1766
30,IND,1192.4,5-12,KC,1940.9
31,DEN,1192.3,5-12,SF,1766
32,HOU,1145.3,3-14,JAX,1559.7
