rank,team,rating,record,best_win,best_win_elo
1,NE,1974,17-2,ATL,1821.1
2,ATL,1821.1,13-6,GB,1722.3
3,KC,1770.8,12-5,ATL,1821.1
4,DAL,1762.1,13-4,PIT,1739.2
5,PIT,1739.2,13-6,KC,1770.8
6,GB,1722.3,12-7,DAL,1762.1
7,DEN,1630.6,9-7,OAK,1592.4
8,NYG,1599.6,11-6,DAL,1762.1
9,OAK,1592.4,12-5,DEN,1630.6
10,PHI,1589.3,7-9,ATL,1821.1
11,SEA,1588.5,12-6,NE,1974
12,TB,1556.1,9-7,ATL,1821.1
13,IND,1538.8,8-8,GB,1722.3
14,CIN,1538.1,6-10,PHI,1589.3
15,HOU,1537.8,10-8,KC,1770.8
16,WAS,1521.8,9-7,GB,1722.3
17,MIA,1516.7,10-7,PIT,1739.2
18,NO,1507.5,7-9,SEA,1588.5
19,CAR,1500.9,6-10,WAS,1521.8
20,BAL,1489.9,8-8,PIT,1739.2
21,TEN,1489.7,9-7,KC,1770.8
22,DET,1472.3,9-8,PHI,1589.3
23,MIN,1447.9,8-8,GB,1722.3
24,ARI,1445,7-9,SEA,1588.5
25,SD,1372.4,5-11,ATL,1821.1
26,BUF,1370.6,7-9,NE,1974
27,NYJ,1327.6,5-11,BAL,1489.9
28,JAX,1247.2,3-13,IND,1538.8
29,CHI,1186.8,3-13,DET,1472.3
30,LA,1138.4,4-12,SEA,1588.5
31,SF,1004,2-14,LA,1138.4
32,CLE,1000.6,1-15,SD,1372.4
