rank,team,rating,record,best_win,best_win_elo
1,PHI,1947.2,16-3,NE,1826.5
2,NE,1826.5,15-4,NO,1755.9
3,MIN,1802.6,14-4,NO,1755.9
4,NO,1755.9,12-6,ATL,1755.8
5,ATL,1755.8,11-7,NO,1755.9
6,PIT,1737.2,13-4,MIN,1802.6
7,CAR,1663.3,11-6,NE,1826.5
8,LA,1633.7,11-6,NO,1755.9
9,LAC,1626.9,9-7,DAL,1612.5
10,KC,1624.8,10-7,PHI,1947.2
11,DAL,1612.5,9-7,PHI,1947.2
12,JAX,1606.5,12-7,PIT,1737.2
13,SEA,1597.6,9-7,PHI,1947.2
14,BAL,1581,9-7,DET,1567.2
15,DET,1567.2,9-7,MIN,1802.6
16,SF,1545,6-10,LA,1633.7
17,BUF,1485.1,9-8,ATL,1755.8
18,ARI,1458.3,8-8,JAX,1606.5
19,TEN,1457.4,10-8,KC,1624.8
20,TB,1435.9,5-11,NO,1755.9
21,WAS,1427.1,7-9,LA,1633.7
22,GB,1416,7-9,DAL,1612.5
23,CHI,1415.5,5-11,PIT,1737.2
24,CIN,1396.9,7-9,BAL,1581
25,MIA,1336.5,6-10,NE,1826.5
26,OAK,1336.4,6-10,KC,1624.8
27,NYJ,1300.5,5-11,KC,1624.8
28,DEN,1282.6,5-11,LAC,1626.9
29,NYG,1244.7,3-13,KC,1624.8
30,HOU,1191.8,4-12,ARI,1458.3
31,IND,1190.8,4-12,SF,1545
32,CLE,740.8,0-16,NA,NA
