rank,team,rating,record,best_win,best_win_elo
1,NE,1926.2,15-4,SEA,1900.4
2,SEA,1900.4,14-5,GB,1779.9
3,GB,1779.9,13-5,NE,1926.2
4,DAL,1732.9,13-5,SEA,1900.4
5,DEN,1696.1,12-5,IND,1687.8
6,IND,1687.8,13-6,DEN,1696.1
7,BUF,1674,9-7,NE,1926.2
8,PIT,1666.3,11-6,IND,1687.8
9,BAL,1657.7,11-7,PIT,1666.3
10,KC,1637,9-7,NE,1926.2
11,DET,1621.1,11-6,GB,1779.9
12,PHI,1596.2,10-6,DAL,1732.9
13,CIN,1562.8,10-7,DEN,1696.1
14,ARI,1550.7,11-6,DAL,1732.9
15,HOU,1544.4,9-7,BUF,1674
16,CAR,1542.2,9-9,DET,1621.1
17,SD,1532.4,9-7,SEA,1900.4
18,MIA,1511.8,8-8,NE,1926.2
19,SF,1478.9,8-8,DAL,1732.9
20,MIN,1457.5,7-9,CAR,1542.2
21,NYG,1415,6-10,HOU,1544.4
22,STL,1401.3,6-10,SEA,1900.4
23,NO,1401,7-9,GB,1779.9
24,NYJ,1375.8,4-12,PIT,1666.3
25,ATL,1367.7,6-10,ARI,1550.7
26,CLE,1332,7-9,PIT,1666.3
27,CHI,1305.5,5-11,SF,1478.9
28,OAK,1270.8,3-13,BUF,1674
29,JAX,1140.5,3-13,NYG,1415
30,WAS,1139,4-12,DAL,1732.9
31,TB,1094.2,2-14,PIT,1666.3
32,TEN,1001.1,2-14,KC,1637
