rank,team,rating,record,best_win,best_win_elo
1,NE,1853.1,15-4,BAL,1716.9
2,SF,1843.8,14-4,NO,1831.1
3,NO,1831.1,14-4,NYG,1807
4,GB,1828.7,15-2,NO,1831.1
5,NYG,1807,13-7,NE,1853.1
6,BAL,1716.9,13-5,SF,1843.8
7,PIT,1682.2,12-5,NE,1853.1
8,PHI,1651.4,8-8,NYG,1807
9,DET,1608,10-7,SD,1565.4
10,HOU,1572.2,11-7,PIT,1682.2
11,SD,1565.4,8-8,BAL,1716.9
12,ATL,1539.4,10-7,PHI,1651.4
13,SEA,1534.6,7-9,NYG,1807
14,MIA,1527.5,6-10,NYJ,1484.2
15,ARI,1504.9,8-8,SF,1843.8
16,CHI,1497.9,8-8,PHI,1651.4
17,CIN,1489.3,9-8,SEA,1534.6
18,NYJ,1484.2,8-8,SD,1565.4
19,DEN,1481.5,9-9,PIT,1682.2
20,DAL,1454.2,8-8,SF,1843.8
21,KC,1447,7-9,GB,1828.7
22,OAK,1436.6,8-8,HOU,1572.2
23,TEN,1433.5,9-7,BAL,1716.9
24,CAR,1424,6-10,HOU,1572.2
25,BUF,1377.8,6-10,NE,1853.1
26,WAS,1318.4,5-11,NYG,1807
27,MIN,1275.9,3-13,ARI,1504.9
28,JAX,1255.8,5-11,BAL,1716.9
29,CLE,1239.9,4-12,SEA,1534.6
30,STL,1120.6,2-14,NO,1831.1
31,TB,1106.9,4-12,NO,1831.1
32,IND,1090.4,2-14,HOU,1572.2
