rank,team,rating,record,best_win,best_win_elo
1,PHI,2059.3,18-3,BAL,1872.2
2,DET,1872.5,15-3,GB,1720.1
3,BAL,1872.2,13-6,BUF,1827.6
4,BUF,1827.6,15-5,DET,1872.5
5,KC,1808.1,17-3,BAL,1872.2
6,WAS,1782.2,14-6,PHI,2059.3
7,GB,1720.1,11-7,LA,1654.8
8,MIN,1665.3,14-4,GB,1720.1
9,LA,1654.8,11-8,BUF,1827.6
10,DEN,1647.8,10-8,KC,1808.1
11,TB,1645.1,10-8,PHI,2059.3
12,SEA,1611.6,10-7,LA,1654.8
13,CIN,1594.9,9-8,DEN,1647.8
14,LAC,1563.4,11-7,DEN,1647.8
15,HOU,1560.8,11-8,BUF,1827.6
16,PIT,1559.8,10-8,BAL,1872.2
17,ARI,1484.9,8-9,LA,1654.8
18,DAL,1426.8,7-10,WAS,1782.2
19,MIA,1386.7,8-9,LA,1654.8
20,ATL,1383.1,8-9,PHI,2059.3
21,SF,1364.7,6-11,TB,1645.1
22,NYJ,1346,5-12,HOU,1560.8
23,IND,1313.2,8-9,PIT,1559.8
24,NO,1280.6,5-12,DAL,1426.8
25,CAR,1270.3,5-12,ARI,1484.9
26,CHI,1252.7,5-12,GB,1720.1
27,NYG,1229.2,3-14,SEA,1611.6
28,LV,1226,4-13,BAL,1872.2
29,NE,1197.9,4-13,BUF,1827.6
30,JAX,1152,4-13,IND,1313.2
31,CLE,1143.2,3-14,BAL,1872.2
32,TEN,1097.2,3-14,HOU,1560.8
