rank,team,rating,record,best_win,best_win_elo
1,SEA,2060.4,16-3,LA,1849.2
2,NE,1904.1,17-3,HOU,1831.5
3,LA,1849.2,14-6,SEA,2060.4
4,HOU,1831.5,13-6,JAX,1824
5,JAX,1824,13-5,HOU,1831.5
6,DEN,1822.8,15-4,HOU,1831.5
7,SF,1732.3,13-6,SEA,2060.4
8,BUF,1721,13-6,NE,1904.1
9,CHI,1568.5,12-7,MIN,1554.4
10,LAC,1564.6,11-7,DEN,1822.8
11,MIN,1554.4,9-8,CHI,1568.5
12,PIT,1533,10-8,NE,1904.1
13,BAL,1527.6,8-9,CHI,1568.5
14,DET,1491.2,9-8,CHI,1568.5
15,IND,1487.4,8-9,DEN,1822.8
16,PHI,1478.3,11-7,LA,1849.2
17,ATL,1470.4,8-9,LA,1849.2
18,GB,1461.7,10-8,CHI,1568.5
19,CAR,1436,8-10,LA,1849.2
20,TB,1421.2,8-9,SEA,2060.4
21,CIN,1410.1,6-11,JAX,1824
22,NO,1391.7,6-11,CAR,1436
23,MIA,1370.2,7-10,BUF,1721
24,KC,1350,6-11,BAL,1527.6
25,CLE,1317.9,5-12,PIT,1533
26,DAL,1276.2,7-10,PHI,1478.3
27,NYG,1268.1,4-13,LAC,1564.6
28,WAS,1265.9,5-12,LAC,1564.6
29,ARI,1234.6,3-14,CAR,1436
30,TEN,1208.6,3-14,KC,1350
31,NYJ,1114.7,3-14,ATL,1470.4
32,LV,1052.5,3-14,NE,1904.1
