rank,team,rating,record,best_win,best_win_elo
1,NO,1925.1,16-3,IND,1783.8
2,IND,1783.8,16-3,NYJ,1747.2
3,SD,1765.7,13-4,DAL,1713.9
4,NYJ,1747.2,11-8,IND,1783.8
5,CAR,1717.9,8-8,NO,1925.1
6,DAL,1713.9,12-6,NO,1925.1
7,MIN,1711.9,13-5,DAL,1713.9
8,NE,1669.5,10-7,NYJ,1747.2
9,GB,1651.9,11-6,DAL,1713.9
10,HOU,1644.8,9-7,NE,1669.5
11,PHI,1636.7,11-6,CAR,1717.9
12,BAL,1632.4,10-8,SD,1765.7
13,ATL,1609.2,9-7,NYJ,1747.2
14,PIT,1583.6,9-7,SD,1765.7
15,TEN,1576,8-8,HOU,1644.8
16,ARI,1566.1,11-7,MIN,1711.9
17,CIN,1542.5,10-7,GB,1651.9
18,BUF,1512.4,6-10,IND,1783.8
19,SF,1490.7,8-8,ARI,1566.1
20,MIA,1490.5,7-9,NYJ,1747.2
21,NYG,1435.7,8-8,DAL,1713.9
22,DEN,1421.7,8-8,SD,1765.7
23,CHI,1389,7-9,MIN,1711.9
24,CLE,1376,5-11,PIT,1583.6
25,JAX,1333.7,7-9,NYJ,1747.2
26,TB,1332.6,3-13,NO,1925.1
27,KC,1294.5,4-12,PIT,1583.6
28,WAS,1242.8,4-12,DEN,1421.7
29,SEA,1222.1,5-11,SF,1490.7
30,OAK,1183.6,5-11,PHI,1636.7
31,DET,907.6,2-14,CLE,1376
32,STL,889,1-15,DET,907.6
