rank,team,rating,record,best_win,best_win_elo
1,CAR,1940.6,17-2,SEA,1816.1
2,DEN,1937.2,15-4,CAR,1940.6
3,SEA,1816.1,11-7,ARI,1808.8
4,ARI,1808.8,14-4,SEA,1816.1
5,KC,1796.7,12-6,DEN,1937.2
6,PIT,1744,11-7,DEN,1937.2
7,MIN,1731.7,11-6,KC,1796.7
8,CIN,1724.2,12-5,SEA,1816.1
9,GB,1710,11-7,SEA,1816.1
10,NE,1644.1,13-5,KC,1796.7
11,DET,1543.9,7-9,GB,1710
12,WAS,1524.9,9-8,STL,1494.3
13,OAK,1509.4,7-9,DEN,1937.2
14,NYJ,1500.3,10-6,NE,1644.1
15,STL,1494.3,7-9,SEA,1816.1
16,BUF,1484.9,8-8,NYJ,1500.3
17,HOU,1452.9,9-8,CIN,1724.2
18,CHI,1437.1,6-10,KC,1796.7
19,ATL,1434.8,8-8,CAR,1940.6
20,PHI,1422.8,7-9,NE,1644.1
21,BAL,1363,5-11,PIT,1744
22,NO,1358.6,7-9,ATL,1434.8
23,NYG,1357.4,6-10,WAS,1524.9
24,SF,1336.8,5-11,MIN,1731.7
25,SD,1329.6,4-12,DET,1543.9
26,IND,1327.6,8-8,DEN,1937.2
27,TB,1270.7,6-10,ATL,1434.8
28,CLE,1264.5,3-13,BAL,1363
29,MIA,1247.9,6-10,NE,1644.1
30,DAL,1225.4,4-12,WAS,1524.9
31,JAX,1186.4,5-11,BUF,1484.9
32,TEN,1073.6,3-13,NO,1358.6
