rank,team,rating,record,best_win,best_win_elo
1,NE,2053.8,17-2,TEN,1825.3
2,TEN,1825.3,13-5,CAR,1735.2
3,IND,1807.6,14-5,TEN,1825.3
4,PHI,1762.3,13-5,CAR,1735.2
5,CAR,1735.2,14-6,IND,1807.6
6,MIA,1730.6,10-6,BAL,1573.4
7,GB,1682.5,11-7,DEN,1567.4
8,STL,1593.5,12-5,GB,1682.5
9,KC,1586.6,13-4,GB,1682.5
10,BAL,1573.4,10-7,DEN,1567.4
11,DEN,1567.4,10-7,IND,1807.6
12,NO,1559,8-8,TB,1515.8
13,MIN,1518.3,9-7,GB,1682.5
14,TB,1515.8,7-9,PHI,1762.3
15,DAL,1506.6,10-7,PHI,1762.3
16,NYJ,1495.1,6-10,TEN,1825.3
17,BUF,1487.3,6-10,NE,2053.8
18,SF,1466,7-9,PHI,1762.3
19,SEA,1462.8,10-7,STL,1593.5
20,ATL,1447.5,5-11,CAR,1735.2
21,JAX,1441.1,5-11,IND,1807.6
22,CIN,1405,8-8,KC,1586.6
23,CHI,1397.8,7-9,DEN,1567.4
24,PIT,1373.3,6-10,BAL,1573.4
25,WAS,1327.6,5-11,NE,2053.8
26,DET,1317.1,5-11,GB,1682.5
27,CLE,1296.2,5-11,SF,1466
28,HOU,1294.1,5-11,CAR,1735.2
29,SD,1261.6,4-12,MIN,1518.3
30,NYG,1210.1,4-12,STL,1593.5
31,OAK,1199,4-12,BAL,1573.4
32,ARI,1100.4,4-12,GB,1682.5
