rank,team,elo,wins,losses,best_win_name,best_win_elo
1,Barcelona,1666.757887134989,32,6,Ath Madrid,1611.3499758025619
2,PSV Eindhoven,1658.345008316683,29.5,4.5,AZ Alkmaar,1558.727102459672
3,Real Madrid,1653.9043404713746,31,7,Sevilla,1592.377141208997
4,Benfica,1648.8467165578975,29,5,Porto,1565.205151929542
5,Porto,1645.138583521316,28.5,5.5,Sp Lisbon,1591.0532707851942
6,Paris SG,1639.4081237991304,29.5,8.5,St Etienne,1565.2661653829994
7,Chelsea,1638.2478969736874,30.5,7.5,Man United,1606.1350184964176
8,Juventus,1636.132852780339,30.5,7.5,Lazio,1579.846621194433
9,Sp Lisbon,1632.0353727945412,27,7,Sp Braga,1539.5822273138183
10,Bristol City,1630.768540546052,35,11,Swindon,1557.8165586378873
11,Bayern Munich,1614.7787980790433,27,7,Leverkusen,1532.2850914872454
12,Sp Gijon,1614.490452456268,30.5,11.5,Betis,1613.2078299826376
13,Bournemouth,1608.75606463297,32,14,Middlesbrough,1581.8870339496775
14,Betis,1603.476870962608,29.5,12.5,Sp Gijon,1564.883881676785
15,Valencia,1603.452694402793,27.5,10.5,Real Madrid,1594.21535031489
16,Arsenal,1603.2833354274571,26.5,11.5,Man City,1590.8544345562939
17,Man City,1602.5985265693564,27.5,10.5,Southampton,1551.5745432979738
18,Milton Keynes Dons,1600.844805533663,32,14,Swindon,1567.1080101178316
19,Watford,1599.6852277568803,31,15,Middlesbrough,1577.8849857044765
20,Ath Madrid,1598.4980668933556,27.5,10.5,Real Madrid,1618.429017049355
21,Preston,1597.8762366208534,32,14,Bristol City,1563.7684746077475
22,Troyes,1596.6416600822615,27,11,Brest,1556.23638631911
23,Girona,1596.0111040460235,29,13,Valladolid,1534.9125887397006
24,M'gladbach,1595.1051032785115,23.5,10.5,Bayern Munich,1637.9140245715969
25,Wolfsburg,1593.8826192426536,24.5,9.5,Bayern Munich,1614.169848444379
26,Sevilla,1593.627291843767,26.5,11.5,Villarreal,1558.3607036723424
27,Monaco,1593.4234660857699,25.5,12.5,Marseille,1573.645236237281
28,Lyon,1593.0318358251238,26.5,11.5,Marseille,1564.1679955057145
29,Ajax,1592.9320620010812,25,9,PSV Eindhoven,1636.043845520965
30,Norwich,1592.129525990149,30.5,15.5,Bournemouth,1579.2907340474226
31,Carpi,1585.9046726468425,29,13,Bologna,1561.6805429146973
