season,rank,team,league,elo,wins,draws,losses,games,best_win_name,best_win_elo
2022,17,Frosinone,ITA 2nd,1715.123893363,24,8,6,38,Genoa,1664.76321004484
2022,30,Genoa,ITA 2nd,1664.58473377147,21,11,6,38,Frosinone,1712.57358502828
2022,49,Cagliari,ITA 2nd,1611.96022864486,15,15,8,38,Benevento,1518.48939054744
2022,54,Bari,ITA 2nd,1602.04689594624,17,14,7,38,Cagliari,1613.24253777534
2022,68,Parma,ITA 2nd,1574.38844244331,17,10,11,38,Frosinone,1724.67932550225
2022,89,Sudtirol,ITA 2nd,1544.69910878771,14,16,8,38,Parma,1599.22401358936
2022,103,Venezia,ITA 2nd,1524.0030807726,13,10,15,38,Cagliari,1602.5678018166
2022,110,Como,ITA 2nd,1515.64366954172,10,17,11,38,Parma,1547.66805683581
2022,126,Palermo,ITA 2nd,1492.91077774105,11,16,11,38,Genoa,1662.01296862788
2022,128,Pisa,ITA 2nd,1489.10490433162,11,14,13,38,Parma,1547.85473027832
2022,134,Reggina,ITA 2nd,1483.5149669126,17,4,17,38,Genoa,1656.66036492712
2022,162,Modena,ITA 2nd,1458.69441631331,13,9,16,38,Parma,1590.11567866251
2022,166,Cittadella,ITA 2nd,1455.74612473142,9,16,13,38,Frosinone,1714.93863583239
2022,171,Ascoli,ITA 2nd,1450.5439735782,12,11,15,38,Bari,1636.07729642184
2022,195,Perugia,ITA 2nd,1427.03456253855,10,9,19,38,Genoa,1635.24310264853
2022,199,Spal,ITA 2nd,1421.21073588054,8,14,16,38,Cagliari,1614.30602923301
2022,208,Cosenza,ITA 2nd,1407.62636525302,9,13,16,38,Frosinone,1718.07779144911
2022,212,Brescia,ITA 2nd,1401.80302543862,9,13,16,38,Sudtirol,1544.69893836867
2022,226,Ternana,ITA 2nd,1384.20085212211,11,10,17,38,Bari,1612.79083182833
2022,231,Benevento,ITA 2nd,1375.15924188805,7,14,17,38,Frosinone,1725.44377906712
