rank,team,league,elo,wins,draws,losses,best_win_name,best_win_elo
1,Arsenal,ENG,1656.7417436100889,26,12,0,Chelsea,1589.0945569978312
2,Milan,ITA,1647.2371265856193,25,7,2,Roma,1612.4349031037598
3,Porto,POR,1632.4417143455214,25,7,2,Sp Braga,1546.1199648729175
4,Ajax,NED,1628.8842009716373,25,5,4,PSV Eindhoven,1594.884133887481
5,Norwich,ENG2,1619.8885329013424,28,10,8,Sheffield United,1543.454735529871
6,Benfica,POR,1618.018342903581,22,8,4,Sp Lisbon,1596.191617080912
7,Lyon,FRA,1611.4836424718785,24,7,7,Auxerre,1562.811860654434
8,Werder Bremen,GER,1609.1847736800198,22,8,4,Bayern Munich,1599.2774958155403
9,Paris SG,FRA,1608.0204634206418,22,10,6,Lyon,1615.0548011578783
10,PSV Eindhoven,NED,1601.4996484873368,23,5,6,AZ Alkmaar,1532.2528160088473
11,Plymouth,ENG3,1597.4703213688194,26,12,8,QPR,1567.8832743203354
12,Feyenoord,NED,1594.8704675591325,20,8,6,PSV Eindhoven,1577.8105541557263
13,Chelsea,ENG,1594.73846181332,24,7,7,Man United,1567.7453433644773
14,Getafe,ESP2,1594.1720854139805,20,16,6,Numancia,1558.8480783231962
15,Cagliari,ITA2,1593.9450174508297,23,14,9,Fiorentina,1569.8281283674999
16,Sp Lisbon,POR,1593.7922946112653,23,4,7,Benfica,1564.3653825179047
17,Levante,ESP2,1590.4730871441725,22,13,7,Sp Gijon,1567.5571457149374
18,Caen,FRA2,1589.4667258179727,20,11,7,Istres,1550.3039605840468
19,Barcelona,ESP,1588.0834133107785,21,9,8,Real Madrid,1598.7260836517057
20,Valencia,ESP,1587.9739331385883,23,8,7,La Coruna,1557.168472067485
21,Palermo,ITA2,1586.7482471626795,22,17,7,Livorno,1545.2338942065505
22,Roma,ITA,1586.5111254327503,21,8,5,Juventus,1583.410804923733
23,Bayern Munich,GER,1586.1429940443486,20,8,6,Stuttgart,1580.6571343916426
24,St Etienne,FRA2,1584.8165894711028,22,7,9,Caen,1548.974363756245
25,Leverkusen,GER,1582.4767202896458,19,8,7,Werder Bremen,1635.218229183481
26,Monaco,FRA,1580.8604313007247,21,12,5,Lyon,1557.1422850540455
27,Livorno,ITA2,1580.329010527439,20,19,7,Fiorentina,1558.4591592383156
28,Juventus,ITA,1577.8653767763026,21,6,7,Parma,1542.2358718820408
29,West Brom,ENG2,1577.4428886433814,25,11,10,Sunderland,1566.0576105451237
30,Alaves,ESP2,1576.7472027953831,20,14,8,Levante,1563.587703309488
31,Numancia,ESP2,1574.5269657857907,22,10,10,Alaves,1572.7832660803833
32,QPR,ENG3,1573.81096922564,22,17,7,Plymouth,1546.3560983565424
33,Messina,ITA2,1573.6370401692498,21,16,9,Atalanta,1539.349950184259
34,Man United,ENG,1570.3216350398525,23,6,9,Aston Villa,1538.4863037951998
35,Stuttgart,GER,1568.9505993696455,18,10,6,Bayern Munich,1590.0447014865936
36,Bristol City,ENG3,1567.389488530544,23,13,10,Plymouth,1595.2522985745711
