season,rank,team,league,elo,wins,draws,losses,games,best_win_name,best_win_elo
2025,3,PSV Eindhoven,NED 1st,1923.31452097856,17,1,1,19,Feyenoord,1662.56556030977
2025,40,Nijmegen,NED 1st,1633.97110512089,9,5,4,18,Feyenoord,1647.6832891231
2025,47,Ajax,NED 1st,1625.44110802662,9,7,3,19,Feyenoord,1644.9436433767
2025,57,Feyenoord,NED 1st,1604.78608478469,11,3,5,19,Groningen,1550.51419373053
2025,72,Twente,NED 1st,1569.01568977632,7,8,4,19,AZ Alkmaar,1544.44562842687
2025,90,Groningen,NED 1st,1532.27414359329,9,4,6,19,Utrecht,1546.41909770672
2025,108,Heerenveen,NED 1st,1506.62312767434,6,6,7,19,Nijmegen,1633.96703360431
2025,114,AZ Alkmaar,NED 1st,1496.60582096589,8,5,6,19,Ajax,1634.69562904993
2025,139,Utrecht,NED 1st,1478.03201651914,6,5,7,18,Ajax,1617.1108047208
2025,150,Sparta Rotterdam,NED 1st,1468.7795916227,9,2,8,19,Feyenoord,1619.82314923591
2025,154,Go Ahead Eagles,NED 1st,1458.82628056584,4,9,6,19,Feyenoord,1663.50423385512
2025,159,For Sittard,NED 1st,1448.87573266814,6,4,9,19,Nijmegen,1656.30820956399
2025,182,Zwolle,NED 1st,1421.21476593612,6,5,8,19,Twente,1569.54471517121
2025,202,Telstar,NED 1st,1404.7170759576,3,7,9,19,PSV Eindhoven,1928.84684331326
2025,210,Excelsior,NED 1st,1391.32964973911,6,3,10,19,Ajax,1603.08861505945
2025,227,Volendam,NED 1st,1363.22391262808,4,5,10,19,Utrecht,1514.31577597185
2025,238,NAC Breda,NED 1st,1341.97400863723,3,5,11,19,Go Ahead Eagles,1506.07533880371
2025,239,Heracles,NED 1st,1330.99536480544,4,2,13,19,Go Ahead Eagles,1507.93079985066
