rank,team,elo,wins,losses,best_win_name,best_win_elo
1,Liverpool,1680.992771775049,33.5,4.5,Chelsea,1572.9920053089274
2,Man City,1679.704162277936,33,5,Liverpool,1634.2687718722218
3,Benfica,1666.6464575113182,29.5,4.5,Porto,1615.230151121082
4,Porto,1655.2240590438369,29,5,Sp Lisbon,1617.228424935434
5,Ajax,1651.8027763835605,29,5,PSV Eindhoven,1628.4967174290853
6,Barcelona,1641.3446474629802,30.5,7.5,Ath Madrid,1598.8677663771518
7,Bayern Munich,1637.8729034308305,27,7,Dortmund,1613.7659292231986
8,PSV Eindhoven,1632.2381590838984,28.5,5.5,Ajax,1536.4566969096552
9,Osasuna,1628.1443408098808,30.5,11.5,Albacete,1572.9049591355463
10,Juventus,1626.0570237253628,31,7,Napoli,1599.4832018451964
11,Norwich,1625.3142196830074,33.5,12.5,Aston Villa,1582.2338216372461
12,Paris SG,1624.3531329366592,31,7,Lille,1552.488103127358
13,Luton,1614.882430810271,33.5,12.5,Portsmouth,1563.4626754492458
14,Dortmund,1613.5367754023641,26.5,7.5,M'gladbach,1554.7398292590851
15,Sp Lisbon,1608.5275443321498,25.5,8.5,Sp Braga,1593.2683446598626
16,Metz,1607.1466589937058,28.5,9.5,Brest,1594.6416680807183
17,Barnsley,1604.9692550810787,32.5,13.5,Peterboro,1545.9158443347455
18,Sheffield United,1603.563715072404,31.5,14.5,Leeds,1583.972212445593
19,Charlton,1598.8121135468664,31,15,Luton,1629.0223509487614
20,Ath Madrid,1597.2566559897255,27,11,Valencia,1557.4229494554177
21,Lille,1595.436137333061,26.5,11.5,Paris SG,1665.2774713491958
22,Napoli,1593.2933040133637,27.5,10.5,Inter,1567.3874210899116
23,Troyes,1593.271837867553,25,13,Lorient,1548.308309473504
24,Atalanta,1589.8936868824642,24.5,13.5,Napoli,1589.2457998655586
25,Granada,1587.5787211111954,28.5,13.5,Albacete,1568.425746793079
26,RB Leipzig,1587.2089157226,23.5,10.5,M'gladbach,1551.2908432934419
27,Lyon,1585.7595747772702,25.5,12.5,Paris SG,1634.729996956907
