season,rank,team,league,elo,wins,draws,losses,games,best_win_name,best_win_elo
2022,18,Bayern Munich,GER 2nd,1714.21913212004,21,8,5,34,Dortmund,1697.79986343682
2022,19,Dortmund,GER 2nd,1708.90237743308,22,5,7,34,RB Leipzig,1663.7041475149
2022,32,RB Leipzig,GER 2nd,1654.2651045542,20,6,8,34,Bayern Munich,1731.1110219062
2022,69,Union Berlin,GER 2nd,1569.39507586973,18,8,8,34,Dortmund,1674.9467691701
2022,80,Freiburg,GER 2nd,1554.38954607794,17,8,9,34,Union Berlin,1571.43484399769
2022,91,Leverkusen,GER 2nd,1542.94925842113,14,8,12,34,Bayern Munich,1750.20585837113
2022,99,Wolfsburg,GER 2nd,1529.33209008614,13,10,11,34,Dortmund,1680.69819946176
2022,114,Ein Frankfurt,GER 2nd,1509.26405595118,13,11,10,34,RB Leipzig,1638.59732345677
2022,131,Mainz,GER 2nd,1486.50204112537,12,10,12,34,Bayern Munich,1742.59205065877
2022,138,M'gladbach,GER 2nd,1480.28262404237,11,10,13,34,Bayern Munich,1748.78539398746
2022,142,FC Koln,GER 2nd,1476.47143495697,10,12,12,34,Dortmund,1689.00155805182
2022,176,Stuttgart,GER 2nd,1445.96738125565,7,12,15,34,FC Koln,1511.49080016345
2022,189,Hoffenheim,GER 2nd,1434.37934513844,10,6,18,34,Union Berlin,1587.77073533652
2022,204,Bochum,GER 2nd,1411.57738099843,10,5,19,34,RB Leipzig,1664.71640885381
2022,216,Werder Bremen,GER 2nd,1396.13982632624,10,6,18,34,Dortmund,1724.51111406485
2022,224,Schalke 04,GER 2nd,1386.7171683208,7,10,17,34,Mainz,1544.69022067091
2022,238,Augsburg,GER 2nd,1358.41960242385,9,7,18,34,Bayern Munich,1717.52098317485
2022,247,Hertha,GER 2nd,1340.82655489845,7,8,19,34,Wolfsburg,1545.57474071494
