rank,team,elo,wins,losses,best_win_name,best_win_elo
1,Porto,1658.9530610550437,29,5,Benfica,1650.0742882424354
2,Benfica,1651.9247587932175,29.5,4.5,Sp Braga,1621.2799945296501
3,Burnley,1648.5417119200938,36,10,Sheffield United,1582.9536197104756
4,Feyenoord,1646.7487511410372,28.5,5.5,Ajax,1597.1873947903375
5,Man City,1641.881051949768,30.5,7.5,Arsenal,1621.19151068391
6,Ipswich,1638.3795858989831,35,11,Barnsley,1597.541709193335
7,Napoli,1636.3494095820831,31,7,Juventus,1575.7063123075557
8,Lens,1634.756097562332,29.5,8.5,Paris SG,1613.03715023639
9,Plymouth,1627.4288605057443,35,11,Derby,1565.2146332744164
10,PSV Eindhoven,1622.1580998583238,26,8,Ajax,1597.7603988478431
11,Sp Lisbon,1617.3516786210157,25.5,8.5,Sp Braga,1577.5089930800227
12,Sp Braga,1617.162729950829,26.5,7.5,Benfica,1595.6003813996138
13,Sheffield Weds,1615.2670001284673,34,12,Plymouth,1597.1928867628997
14,Barcelona,1613.7717357274535,30,8,Ath Madrid,1598.9648061773444
15,Frosinone,1610.9735745612254,28,10,Genoa,1598.5885484419653
16,Paris SG,1605.6889987453237,29,9,Lens,1593.7953706501494
17,Arsenal,1605.406012130174,29,9,Newcastle,1595.2342220496216
18,Ath Madrid,1604.943838814526,27,11,Sociedad,1580.9309671672675
19,Metz,1603.3535755377623,26,12,Bordeaux,1570.7726361032348
20,Dortmund,1602.922324179107,24.5,9.5,RB Leipzig,1569.1968593827035
21,Bayern Munich,1601.0381360595084,25,9,Dortmund,1585.0198585855753
22,Genoa,1597.9967001759737,26.5,11.5,Bari,1570.1091759571746
23,Sheffield United,1596.0946133196646,31.5,14.5,Burnley,1573.74452402824
24,Le Havre,1595.5758077192336,27.5,10.5,Bordeaux,1543.4776726048
25,Ajax,1589.7413832115685,24.5,9.5,Sparta Rotterdam,1545.8837735607776
26,Heidenheim,1588.274066803907,24,10,Darmstadt,1597.6710200583511
27,RB Leipzig,1588.0621025262299,23,11,Bayern Munich,1604.7937615659484
28,Man United,1587.515342453328,26,12,Man City,1574.8985208313632
29,Lazio,1586.3965151054126,26,12,Napoli,1649.1170926312582
30,Luton,1584.9847875161777,29.5,16.5,Sheffield United,1571.0006847721256
31,Real Madrid,1582.862082781048,27,11,Barcelona,1561.838154779869
32,Newcastle,1581.7956215305123,26,12,Man United,1563.1348640834171
33,Sociedad,1579.5392804252474,25,13,Barcelona,1650.2359953216087
34,Twente,1578.480651607579,23,11,Ajax,1600.1140650000293
35,Bordeaux,1576.3531288222464,24.5,12.5,Bastia,1544.0203450567487
36,AZ Alkmaar,1576.028301091743,23.5,10.5,PSV Eindhoven,1557.277733012692
37,Barnsley,1575.4399840153696,30,16,Sheffield Weds,1630.9163291883722
38,Inter,1573.211435823947,24.5,13.5,Napoli,1611.2256502004818
39,Hamburg,1572.169828282842,23,11,St Pauli,1553.224825919813
40,Darmstadt,1571.1585605195992,23.5,10.5,Paderborn,1532.2876018766426
41,Liverpool,1571.024233040182,24,14,Man United,1578.4029850353056
42,Granada,1569.883922582376,26.5,15.5,Alaves,1562.7555746099895
43,Levante,1567.9114699309462,27,15,Alaves,1553.3925148279436
44,St Pauli,1567.0158240658432,21,13,Darmstadt,1599.651544583087
45,Milan,1566.9503070870692,25,13,Napoli,1649.6020131665807
46,Juventus,1565.569807012098,25,13,Lazio,1560.9473354715064
47,Bolton,1564.6329567365506,29,17,Barnsley,1544.3568557531582
48,Marseille,1562.7668489600367,25.5,12.5,Reims,1560.6427317304306
49,Lille,1561.6044621672354,24,14,Marseille,1602.7090935260464
50,Bari,1561.1255597855427,24,14,Sudtirol,1558.7819922781757
51,Las Palmas,1561.02262070414,27,15,Eibar,1564.5154678610415
52,Rennes,1554.9718450742644,23.5,14.5,Paris SG,1625.4912988108101
53,Cagliari,1554.8987872726009,22.5,15.5,Brescia,1524.926970963972
54,Union Berlin,1552.885011734885,22,12,RB Leipzig,1560.538375073235
55,Alaves,1552.0105917718117,26,16,Eibar,1567.7708629770602
56,Aston Villa,1551.1066331361142,21.5,16.5,Newcastle,1587.1284192476146
57,Fortuna Dusseldorf,1550.943659349532,20.5,13.5,Darmstadt,1596.6316852199632
58,Eibar,1549.9644661970392,26,16,Burgos,1552.176262829953
59,Villarreal,1548.816276964575,22.5,15.5,Real Madrid,1591.6069379064968
60,Sparta Rotterdam,1548.4883158200785,21,13,AZ Alkmaar,1566.696419045248
61,Albacete,1547.777563946138,25,17,Eibar,1577.6231968150535
62,Middlesbrough,1547.4780850877416,26.5,19.5,Sheffield United,1588.0904891942296
63,Brentford,1546.1226871907586,22,16,Man City,1655.268547794838
64,Lyon,1546.1208820666964,22,16,Paris SG,1613.0063675613487
65,Parma,1546.058494052265,22,16,Frosinone,1594.481704233095
66,Peterboro,1545.4511618555528,26.5,19.5,Plymouth,1597.910678952639
67,Coventry,1544.70734604512,26,20,Blackburn,1532.6189314077974
68,Derby,1543.9243579167626,27.5,18.5,Bolton,1542.4539993415226
69,Freiburg,1541.9956823668258,21,13,Union Berlin,1534.7956971359292
70,Nice,1538.6637104843699,21.5,16.5,Lens,1588.9241479570435
71,Clermont,1538.5150697828542,21,17,Paris SG,1618.2866844809844
72,Sunderland,1538.1560847489034,25.5,20.5,Middlesbrough,1534.47780231212
73,Utrecht,1536.2232844198884,19.5,14.5,Twente,1556.1227760328616
74,St Etienne,1535.9122604729976,20.5,17.5,Amiens,1530.6058063780158
75,Atalanta,1535.8041490125456,22.5,15.5,Roma,1559.5276568503234
76,Arouca,1535.1734705258405,19.5,14.5,Guimaraes,1539.3904842113488
77,Sudtirol,1534.35944596672,22,16,Reggina,1542.5722138605536
78,Brighton,1533.630246018551,22,16,Arsenal,1626.5410029002906
79,Bastia,1533.5830684426376,21.5,16.5,Sochaux,1553.8122358556197
80,Fiorentina,1532.7237602593093,20.5,17.5,Milan,1560.4765006200394
81,Portsmouth,1531.6083975843858,26.5,19.5,Bolton,1565.959735638746
82,Roma,1531.232828140729,22.5,15.5,Juventus,1583.0593921220304
83,Monaco,1528.3941529640074,23,15,Paris SG,1606.504049706796
84,Caen,1526.5213718224,21.5,16.5,Bastia,1531.5282549092342
85,Betis,1525.8746250622053,21.5,16.5,Sociedad,1532.9498047622726
86,Paderborn,1524.4332329194606,19.5,14.5,Heidenheim,1588.2930468662219
87,Swansea,1523.741276229255,24,22,West Brom,1522.2780746522856
88,Bologna,1521.8528585019642,20,18,Inter,1568.6306247828338
89,Oviedo,1521.7909479639584,21.5,20.5,Las Palmas,1567.3985451899382
90,Paris FC,1521.5666144908748,20,18,Grenoble,1514.4627745854616
91,Leverkusen,1520.4106376731838,18,16,Bayern Munich,1597.2040570685513
92,Guimaraes,1519.1644419725687,18.5,15.5,Sp Braga,1588.0349033215468
93,Guingamp,1517.8697225523904,20,18,Bordeaux,1518.2078940034412
94,Tenerife,1516.728887515639,21.5,20.5,Las Palmas,1572.6055272337317
95,Blackburn,1514.6260155675582,24.5,21.5,Sheffield United,1574.7914263471982
96,Andorra,1513.749818606213,21.5,20.5,Granada,1527.7354820282403
97,West Brom,1512.5521890304294,24,22,Middlesbrough,1565.2258136241157
98,Wycombe,1512.0280012395087,24.5,21.5,Ipswich,1576.1963354139907
99,Lincoln,1511.6066739615524,24,22,Plymouth,1605.7604181219067
100,Wolfsburg,1511.0623190291865,18,16,Freiburg,1549.8127207677362
101,Monza,1511.0477773268674,19,19,Napoli,1641.685671432614
102,Tottenham,1510.8106129362952,21,17,Man City,1580.1100446580974
103,Ein Frankfurt,1510.747603741736,18.5,15.5,Freiburg,1553.5474076306841
104,Torino,1510.206743260902,19.5,18.5,Lazio,1597.3488870181886
105,Millwall,1507.2693752587138,24.5,21.5,Sheffield United,1577.4859217700136
106,Santander,1504.4871599512749,20,22,Granada,1560.1905941513646
107,Charlton,1502.4702884165,23,23,Portsmouth,1539.0891375973945
108,Venezia,1502.0903197483722,18,20,Ternana,1515.3224015037622
109,Lorient,1501.891764617678,20,18,Paris SG,1621.877856004759
110,Como,1501.8072985362628,18.5,19.5,Ternana,1513.6437240829973
111,Zaragoza,1501.6665508619913,20.5,21.5,Granada,1561.983834807938
112,Reims,1500.7776780131353,19.5,18.5,Monaco,1572.0339821487787
113,Karlsruhe,1500.7768023177512,16.5,17.5,Hamburg,1573.9125794388435
114,Hull,1499.4697523859058,22,24,Millwall,1534.7524478670446
115,Chaves,1499.4533075019472,17,17,Benfica,1639.5018810599627
116,Burton,1499.3597852295748,20.5,25.5,Sheffield Weds,1601.3103112427345
117,Palermo,1498.7776604033668,19,19,Bari,1538.3266235881774
118,Sevilla,1497.9807013188627,18,20,Villarreal,1530.5461704694715
119,Osasuna,1497.7192223303523,19,19,Betis,1528.8342636433179
120,Heerenveen,1497.4136972819442,17,17,Twente,1527.9627567361924
121,Quevilly Rouen,1496.9123610795546,19,19,Caen,1534.1249265781319
122,Holstein Kiel,1496.60451590838,17,17,Heidenheim,1533.5283058583154
123,Montpellier,1496.4566731372777,17.5,20.5,Monaco,1569.6108624859046
124,Mainz,1494.6050761995393,17,17,Bayern Munich,1599.1653383295723
125,Magdeburg,1493.6339796497696,15.5,18.5,Hamburg,1565.5569498848731
126,Girona,1492.5310302842704,18,20,Real Madrid,1594.5130039834285
127,Preston,1492.4866364231752,23,23,Norwich,1543.6455611977046
128,Watford,1491.814642358556,23.5,22.5,Norwich,1533.1957996906376
129,Bristol City,1491.772603583081,22,24,Preston,1519.2440627012825
130,Famalicao,1491.1239730410143,15.5,18.5,Boavista,1526.430458127707
131,Huddersfield,1490.421384175373,19.5,26.5,Sheffield United,1603.0605708669755
132,Brest,1490.4119111767588,16.5,21.5,Marseille,1591.1664527272546
133,Mallorca,1490.1873479415765,18,20,Real Madrid,1589.068608532947
134,Vitesse,1489.5470357789027,15,19,Feyenoord,1660.8878051567485
135,Fleetwood Town,1488.962861766171,22,24,Derby,1563.0143529147733
