rank,team,league,elo,wins,draws,losses,best_win_name,best_win_elo
1,Real Madrid,ESP,1694.7015994460742,32,4,2,Barcelona,1656.6736339999368
2,Dortmund,GER,1660.0014873093064,25,6,3,Bayern Munich,1598.5637674059396
3,Barcelona,ESP,1658.4611459217047,28,7,3,Real Madrid,1594.6662811365588
4,Porto,POR,1648.4040222008414,23,6,1,Sp Braga,1606.811161557413
5,Juventus,ITA,1646.3334167740704,23,15,0,Udinese,1561.5164442520474
6,Man City,ENG,1640.965264138974,28,5,5,Man United,1635.1781140192206
7,Man United,ENG,1636.5321492459198,28,5,5,Tottenham,1574.590834846529
8,Ajax,NED,1630.8227850396295,23,7,4,Heerenveen,1577.2808293811686
9,Charlton,ENG3,1629.7364246169782,30,11,5,Sheffield United,1574.139227204746
10,La Coruna,ESP2,1623.5851250365488,29,4,9,Celta,1588.510100053902
11,Montpellier,FRA,1621.617893179832,25,7,6,Lille,1600.2396392847115
12,Milan,ITA,1612.5585725890664,24,8,6,Udinese,1547.231458148964
13,Benfica,POR,1611.6084566126233,21,6,3,Sp Braga,1616.8080369830539
14,Sheffield Weds,ENG3,1611.4272510547821,28,9,9,Sheffield United,1587.361922478467
15,Paris SG,FRA,1610.5664383540898,23,10,5,St Etienne,1537.7457652610321
16,Reading,ENG2,1610.2037293904282,27,8,11,Southampton,1588.499285062463
17,Celta,ESP2,1608.6935327304386,26,7,9,Almeria,1569.2822908963387
18,Bayern Munich,GER,1607.014782363788,23,4,7,Schalke 04,1563.130861681895
19,Feyenoord,NED,1606.0833891379473,21,7,6,Heerenveen,1590.663939244601
20,Valladolid,ESP2,1601.37616866582,23,13,6,Elche,1531.8992658146215
21,Lille,FRA,1597.6575440038237,21,11,6,Paris SG,1592.1005990651158
22,Greuther Furth,GER2,1596.9190219561926,20,10,4,Paderborn,1580.3088698216175
23,Torino,ITA2,1591.3033703868637,24,11,7,Sassuolo,1584.4479777329573
24,Sassuolo,ITA2,1590.1998263159426,22,14,6,Verona,1564.5495728490262
25,Pescara,ITA2,1589.4622569715077,26,5,11,Torino,1589.383596220033
26,West Ham,ENG2,1588.8884946064309,24,14,8,Blackpool,1554.3125651529415
27,PSV Eindhoven,NED,1587.7624405728106,21,6,7,Heerenveen,1573.8545499149882
28,Sheffield United,ENG3,1585.9838612658746,27,9,10,Huddersfield,1574.3055103994868
29,Heerenveen,NED,1581.3303285330394,18,10,6,AZ Alkmaar,1583.9426519556184
30,Southampton,ENG2,1579.7830743982342,26,10,10,Hull,1541.188975633249
31,Sp Braga,POR,1577.760663867049,19,5,6,Sp Lisbon,1548.840626067823
32,Sp Lisbon,POR,1575.8721020388925,18,5,7,Benfica,1608.6165040779078
