rank,team,league,elo,wins,draws,losses,best_win_name,best_win_elo
1,Porto,POR,1676.5189912280518,29,4,1,Benfica,1604.0876619308424
2,Liverpool,ENG,1670.3337596168474,28,8,2,Arsenal,1572.3428488913598
3,Man City,ENG,1662.7815371804281,29,6,3,Chelsea,1569.6624210781083
4,Sp Lisbon,POR,1648.4893886560303,27,4,3,Benfica,1573.3086259883487
5,Ajax,NED,1645.0788299851865,26,5,3,PSV Eindhoven,1591.674999999555
6,Milan,ITA,1638.531291021657,26,8,4,Inter,1617.2322423960916
7,PSV Eindhoven,NED,1635.048800165683,26,3,5,Utrecht,1530.9306986926397
8,Real Madrid,ESP,1633.1415771148038,26,8,4,Sevilla,1579.1172409518135
9,Inter,ITA,1628.2161416466317,25,9,4,Juventus,1591.4314018085172
10,Paris SG,FRA,1624.0878339738902,26,8,4,Marseille,1573.0091660593966
11,Bayern Munich,GER,1614.6731776163479,24,5,5,Dortmund,1587.2790539584225
12,Toulouse,FRA2,1603.8095107069169,23,10,5,Auxerre,1569.045594181986
13,Benfica,POR,1602.5220738595037,23,5,6,Sp Lisbon,1635.9503393130833
14,Napoli,ITA,1600.486469992126,24,7,7,Milan,1571.5467042975308
15,Milton Keynes Dons,ENG3,1600.440968238119,26,11,9,Rotherham,1612.6745739098112
16,Auxerre,FRA2,1598.0121546531775,21,11,6,Sochaux,1542.8653389513806
17,Twente,NED,1596.9235049501185,20,8,6,Feyenoord,1600.9170130492896
18,Valladolid,ESP2,1596.0009129043262,24,9,9,Eibar,1592.558553029815
19,Bournemouth,ENG2,1594.2020389870179,25,13,8,Nott'm Forest,1596.4846781128956
20,Ajaccio,FRA2,1593.0599571279615,22,9,7,Toulouse,1614.1675363914771
21,Wigan,ENG3,1591.5929113070529,27,11,8,Oxford,1554.8629435861972
22,Barcelona,ESP,1591.2052076963569,21,10,7,Real Madrid,1626.6135743704265
23,Feyenoord,NED,1591.0378924722854,22,5,7,PSV Eindhoven,1536.4998413162564
24,Monaco,FRA,1590.4675270100745,20,9,9,Paris SG,1609.0701453138274
25,Sheffield Weds,ENG3,1589.9899956767572,24,13,9,Milton Keynes Dons,1607.1835172958545
26,Huddersfield,ENG2,1586.7405599526999,23,13,10,Fulham,1599.7924045339123
27,Eibar,ESP2,1583.387021739709,23,11,8,Almeria,1559.809211831902
28,Nott'm Forest,ENG2,1583.0903271267096,23,11,12,Fulham,1592.5870852444546
29,Almeria,ESP2,1583.0001176814437,24,9,9,Tenerife,1548.4206589219064
30,Rotherham,ENG3,1581.8020997724275,27,9,10,Sheffield Weds,1559.836435680304
31,Schalke 04,GER2,1581.0020716688337,20,5,9,Darmstadt,1547.1633814057761
32,Fulham,ENG2,1580.7693873449523,27,9,10,Luton,1554.9044970605025
33,Lecce,ITA2,1579.2020004536173,19,14,5,Pisa,1560.516036000636
34,Ath Madrid,ESP,1578.493218915838,21,8,9,Real Madrid,1648.2387194745586
35,Tottenham,ENG,1578.143481447453,22,5,11,Man City,1634.8820778057668
36,Werder Bremen,GER2,1577.415708042036,18,9,7,Schalke 04,1565.5956768912408
37,Sp Braga,POR,1577.3064250776588,19,8,7,Porto,1671.955202973476
38,Dortmund,GER,1577.2561996490697,22,3,9,Ein Frankfurt,1532.92007649347
39,Sevilla,ESP,1576.4748089446239,18,16,4,Betis,1548.3514834222412
40,Chelsea,ENG,1576.2156989903237,21,11,6,Tottenham,1549.6069816536717
41,Leverkusen,GER,1576.0958635037803,19,7,8,Dortmund,1569.9956417847495
42,Wycombe,ENG3,1576.0008398883451,23,14,9,Sheffield Weds,1586.080719616285
43,Marseille,FRA,1574.6236170486836,21,8,9,Strasbourg,1567.3282271678695
44,Sunderland,ENG3,1573.8050762356988,24,12,10,Wigan,1595.6240890754714
45,Paris FC,FRA2,1572.5751057738378,20,10,8,Ajaccio,1555.571374197999
46,Juventus,ITA,1569.2061492374003,20,10,8,Lazio,1526.853906246942
47,Las Palmas,ESP2,1566.3449460143577,19,13,10,Valladolid,1570.812251320714
