rank,team,league,elo,wins,draws,losses,best_win_name,best_win_elo
1,Inter,ITA,1675.606071733363,30,7,1,Lazio,1579.8850357791287
2,Man United,ENG,1631.5158728847052,28,5,5,Liverpool,1570.5008364855728
3,Juventus,ITA2,1627.7981196719331,28,10,4,Genoa,1570.2069104289885
4,Chelsea,ENG,1626.6829832858105,24,11,3,Tottenham,1529.4363512828888
5,Sp Lisbon,POR,1623.551116996062,20,8,2,Porto,1599.9028959553464
6,Benfica,POR,1614.9309729126826,20,7,3,Sp Lisbon,1559.4681623983186
7,Valladolid,ESP2,1614.8882790057896,26,10,6,Murcia,1542.075715926618
8,Sunderland,ENG2,1614.5991542718416,27,7,12,Derby,1578.2300009006508
9,Ajax,NED,1613.0315670109035,23,6,5,PSV Eindhoven,1610.2281526409872
10,Scunthorpe,ENG3,1611.7338772476348,26,13,7,Bristol City,1554.4368127582688
11,Stuttgart,GER,1607.429490514591,21,7,6,Werder Bremen,1574.7986642861456
12,Porto,POR,1605.2411222236447,22,3,5,Belenenses,1544.134979517443
13,Lyon,FRA,1602.6288545766542,24,9,5,Lens,1553.9163120979983
14,Real Madrid,ESP,1602.018264911052,23,7,8,Sevilla,1565.4662653872185
15,AZ Alkmaar,NED,1601.4079377128255,21,9,4,PSV Eindhoven,1612.4051642953511
16,Napoli,ITA2,1597.8969671425632,21,16,5,Bologna,1538.3246688932086
17,PSV Eindhoven,NED,1597.8396428001315,23,6,5,Twente,1580.252825505628
18,Fiorentina,ITA,1595.2254095218238,21,10,7,Lazio,1583.0680856133881
19,Blackpool,ENG3,1594.519422819611,24,11,11,Scunthorpe,1614.786130730586
20,Barcelona,ESP,1592.228545750983,22,10,6,Zaragoza,1537.3537506975586
21,Almeria,ESP2,1587.5273869221523,24,8,10,Valladolid,1633.3405661141503
22,Karlsruhe,GER2,1586.933130152427,21,7,6,Hansa Rostock,1569.8756748929109
23,Genoa,ITA2,1580.2371095369601,23,9,10,Mantova,1550.343924810299
24,Roma,ITA,1579.8156208418493,22,9,7,Inter,1664.9425917387439
25,Schalke 04,GER,1579.2296486350567,21,5,8,Werder Bremen,1584.8874162736197
26,Bristol City,ENG3,1578.703752192369,25,10,11,Oldham,1563.8450557179037
27,Metz,FRA2,1577.0859057048929,22,10,6,Caen,1574.7599902496534
28,Amiens,FRA2,1575.559217787333,21,6,11,Grenoble,1514.0904867086037
29,Twente,NED,1575.1224452064341,19,9,6,AZ Alkmaar,1574.0623602376766
30,Strasbourg,FRA2,1574.8291301037525,19,13,6,Metz,1599.8379662753932
31,Milan,ITA,1573.8682136936932,19,12,7,Empoli,1531.5327828614736
32,Caen,FRA2,1573.475412591531,19,14,5,Dijon,1537.654135864994
33,Werder Bremen,GER,1572.6237412140185,20,6,8,Hertha,1534.9952981459096
34,Birmingham,ENG2,1572.4842096323,26,8,12,Derby,1583.0923577683088
35,Freiburg,GER2,1571.3807309559952,17,9,8,Karlsruhe,1589.0856044028185
36,Arsenal,ENG,1567.8658472694951,19,11,8,Man United,1615.8674813115929
37,Sevilla,ESP,1567.8032417733245,21,8,9,Barcelona,1572.7631089017145
38,Derby,ENG2,1566.265951148012,25,9,12,Southampton,1555.6026789831901
39,Murcia,ESP2,1565.8264473653735,21,13,8,Cadiz,1541.8593124751906
40,Nott'm Forest,ENG3,1562.4762094188486,23,13,10,Yeovil,1548.5873358430206
41,Hansa Rostock,GER2,1561.0882839513965,16,14,4,Duisburg,1574.081929494152
42,Liverpool,ENG,1558.7300783465964,20,8,10,Chelsea,1594.073456213185
43,Villarreal,ESP,1556.4593195926489,18,8,12,Sevilla,1578.757406941425
44,Lazio,ITA,1556.173114552678,18,11,9,Roma,1568.4707109978265
45,Duisburg,GER2,1555.5807379468142,16,12,6,Karlsruhe,1589.9418933616566
46,Stoke,ENG2,1553.6405129564114,19,16,11,Derby,1589.487255578233
47,Marseille,FRA,1552.7087938019858,19,7,12,St Etienne,1532.4682047253652
48,Yeovil,ENG3,1552.6743896175797,23,10,13,Port Vale,1535.3126579553334
49,Bayern Munich,GER,1549.746072601988,18,6,10,Schalke 04,1578.933872915758
50,Sheffield Weds,ENG2,1548.194510561794,20,11,15,West Brom,1548.4348487911773
51,Wolves,ENG2,1546.423505111651,22,10,14,West Brom,1562.7592495314982
52,Brescia,ITA2,1545.568413011015,19,10,13,Juventus,1606.6936872409328
53,Rennes,FRA,1544.7239411361327,14,15,9,Lyon,1590.193509811505
54,Valencia,ESP,1544.5935232067714,20,6,12,Barcelona,1576.443906320818
55,Tottenham,ENG,1543.9276061847274,17,9,12,Chelsea,1563.5037774707284
56,West Brom,ENG2,1542.2223537409827,22,10,14,Preston,1554.4415854434915
57,Sp Braga,POR,1541.9419515496957,14,8,8,Belenenses,1542.9667226760412
58,Southampton,ENG2,1541.8865206386008,21,12,13,Birmingham,1555.3027458051372
59,Grenoble,FRA2,1539.4852355554558,15,14,9,Metz,1611.4996199131135
60,Swansea,ENG3,1539.2473737152532,20,12,14,Carlisle,1532.4565510506063
61,Rimini,ITA2,1539.2084302947035,17,16,9,Mantova,1544.6619650270288
62,Heerenveen,NED,1537.161498991045,16,7,11,Ajax,1585.4648578121787
63,Oldham,ENG3,1535.7704594335141,21,12,13,Nott'm Forest,1552.5437713531794
64,Everton,ENG,1535.1010927799944,15,13,10,Arsenal,1582.6709762509013
65,Mantova,ITA2,1534.7418751017508,15,19,8,Genoa,1590.7758846799559
66,Roda JC,NED,1534.074964221947,15,9,10,PSV Eindhoven,1625.2748476377792
67,Belenenses,POR,1533.194238887138,15,4,11,Sp Braga,1534.1201394150123
68,Zaragoza,ESP,1532.8920968763473,16,12,10,Barcelona,1578.3875162350032
69,Auxerre,FRA,1530.4002186964442,13,15,10,Lens,1559.05769313818
70,Augsburg,GER2,1528.6347171602538,14,10,10,Karlsruhe,1585.327454706389
71,Kaiserslautern,GER2,1528.361736153956,13,14,7,Greuther Furth,1553.5046030434141
72,Piacenza,ITA2,1528.2036433991332,20,8,14,Genoa,1535.293127212214
73,Millwall,ENG3,1527.5878141852738,19,9,18,Bristol City,1583.8330875233887
74,Greuther Furth,GER2,1526.733701930275,16,6,12,Duisburg,1553.7187701722955
75,Hamburg,GER,1524.0495539245603,10,15,9,Schalke 04,1583.942127227904
76,Cadiz,ESP2,1521.5552396144187,15,16,11,Xerez,1554.116321479629
77,Bologna,ITA2,1521.4794898753223,18,11,13,Albinoleffe,1532.663286367233
78,Ath Madrid,ESP,1519.3143267300352,17,9,12,Sevilla,1529.153755687768
79,Colchester,ENG2,1519.0864158369493,20,9,17,Sunderland,1615.8949353000376
80,Leverkusen,GER,1518.8207530733991,15,6,13,Schalke 04,1596.9003964803333
81,Monaco,FRA,1518.8189517849867,13,12,13,Lyon,1609.840023958695
82,Utrecht,NED,1518.747718826488,13,9,12,Feyenoord,1551.826900311197
83,Crystal Palace,ENG2,1518.3233055930978,18,11,17,Derby,1571.3119567008978
84,Sochaux,FRA,1518.0656795942166,15,12,11,Toulouse,1528.6200569467605
