rank,team,league,elo,wins,draws,losses,best_win_name,best_win_elo
1,Benfica,POR,1666.149264396578,29,1,4,Sp Lisbon,1616.9346426907703
2,Paris SG,FRA,1666.0705747787856,30,6,2,Nice,1536.634484051094
3,Bayern Munich,GER,1664.4798785377227,28,4,2,Dortmund,1543.810803760299
4,Juventus,ITA,1663.1170015128803,29,4,5,Napoli,1617.2407501936575
5,Sp Lisbon,POR,1660.7702544788988,27,5,2,Porto,1587.2598616471444
6,Real Madrid,ESP,1660.5335044521448,28,6,4,Barcelona,1653.4100490276865
7,PSV Eindhoven,NED,1655.4350364851623,26,6,2,Feyenoord,1558.7692095256841
8,Ajax,NED,1644.9511672905749,25,7,2,PSV Eindhoven,1633.028098451699
9,Barcelona,ESP,1641.5148575651071,29,4,5,Ath Madrid,1591.2079599106496
10,Ath Madrid,ESP,1637.4392352023249,28,4,6,Real Madrid,1590.7234563653842
11,Burnley,ENG2,1632.3859596946293,26,15,5,Hull,1573.6725499291874
12,Roma,ITA,1629.6540860886848,23,11,4,Napoli,1607.4286634941373
13,Leicester,ENG,1626.192574425288,23,12,3,Man City,1563.2274314752397
14,Dortmund,GER,1623.1198390521151,24,6,4,Leverkusen,1535.5217192921668
15,Napoli,ITA,1615.1195293810536,25,7,6,Inter,1567.1662457094642
16,Brighton,ENG2,1609.8689686357748,24,17,5,Ipswich,1528.2259633517315
17,Freiburg,GER2,1602.971895366489,22,6,6,RB Leipzig,1596.3001311186028
18,Wigan,ENG3,1595.8142079575618,24,15,7,Gillingham,1567.565679524064
19,Middlesbrough,ENG2,1591.5890353668642,26,11,9,Derby,1584.2809039463073
20,Nancy,FRA2,1589.7309459386474,21,11,6,Red Star,1566.182704275413
21,Porto,POR,1589.6828897189873,23,4,7,Benfica,1607.8349242519437
22,Trapani,ITA2,1588.174862151722,20,13,9,Crotone,1588.16083428491
23,Crotone,ITA2,1586.5723248902998,23,13,6,Cagliari,1579.376314432587
24,Cagliari,ITA2,1581.7568510380336,25,8,9,Pescara,1558.93617810651
25,Nurnberg,GER2,1580.3641882083257,19,8,7,RB Leipzig,1592.2102828070076
26,Alaves,ESP2,1575.5257159416979,21,12,9,Cordoba,1537.3321361925277
27,Gimnastic,ESP2,1575.3434084517435,18,17,7,Alaves,1557.4625920312715
28,Millwall,ENG3,1574.9664741709457,24,9,13,Walsall,1578.0357815899747
29,Bradford,ENG3,1574.4921191755743,23,11,12,Burton,1576.5691267185468
30,Tottenham,ENG,1574.4779753099176,19,13,6,Man City,1553.958522749636
31,Arsenal,ENG,1574.3478452048353,20,11,7,Leicester,1597.942453520967
32,RB Leipzig,GER2,1573.549872853381,20,7,7,Bochum,1539.4355173593385
33,Leganes,ESP2,1573.4856354107073,20,14,8,Alaves,1556.6377435696556
34,Walsall,ENG3,1569.9945182769932,24,12,10,Gillingham,1549.4227150980055
35,Burton,ENG3,1566.0955332538076,25,10,11,Coventry,1555.4903845548195
36,Lille,FRA,1565.8026553172488,15,15,8,Monaco,1560.9879048402677
37,Monaco,FRA,1563.9592853490665,17,14,7,Paris SG,1648.2195851965641
38,AZ Alkmaar,NED,1563.2025231182988,18,5,11,Feyenoord,1549.7972313823286
39,Dijon,FRA2,1563.1719195902633,20,10,8,Metz,1533.2042446975108
40,Scunthorpe,ENG3,1562.7555869087546,21,11,14,Burton,1565.7088899036066
41,Lyon,FRA,1562.003929522795,19,8,11,Paris SG,1663.2031262243413
42,Leverkusen,GER,1561.4807946271712,18,6,10,M'gladbach,1534.624155440577
43,Hull,ENG2,1561.4554836921625,24,11,11,Middlesbrough,1545.9966986418403
44,Southampton,ENG,1560.566600493527,18,9,11,Tottenham,1600.3037736532199
45,Girona,ESP2,1560.3815358927855,17,15,10,Alaves,1550.4376541785962
46,Feyenoord,NED,1559.145596896669,19,6,9,Zwolle,1535.2468045034552
47,Le Havre,FRA2,1557.5420081260377,19,8,11,Lens,1537.8876473420808
48,Pescara,ITA2,1556.674200246102,21,9,12,Spezia,1559.1539366692305
49,Barnsley,ENG3,1556.0547706629216,22,8,16,Wigan,1606.3753466754
50,Man United,ENG,1555.022801894166,19,9,10,Arsenal,1571.1122938078756
51,Nice,FRA,1553.7556998967639,18,9,11,Lyon,1543.7045367609016
52,Red Star,FRA2,1553.2068473132097,18,10,10,Dijon,1566.1450578402214
53,Derby,ENG2,1552.2733850449406,21,15,10,Hull,1566.7082881719034
54,West Ham,ENG,1550.1994415378367,16,14,8,Tottenham,1592.5139857232668
