rank,team,elo,wins,losses,best_win_name,best_win_elo
86,Lens,1522.3755276428951,21,17,Marseille,1529.1298406498881
87,Villarreal,1522.204266877212,21.5,16.5,Sevilla,1604.685340177681
88,Celta,1520.3147329014178,19.5,18.5,Barcelona,1612.2761007244305
89,Sp Gijon,1519.4557815634394,24,18,Mallorca,1598.8809304493357
90,Chievo,1518.5008418271857,21,17,Cittadella,1534.9962307891876
91,Cittadella,1518.0715321528573,21,17,Lecce,1577.8517348168577
92,Rennes,1517.7781038488529,21,17,Marseille,1561.193023391916
93,Spal,1515.7352745920714,21,17,Lecce,1581.5754612022042
94,Crewe,1515.6660324405852,24,22,Doncaster,1551.6033079270617
95,Sparta Rotterdam,1514.3287449315496,17,17,Vitesse,1565.0162740436263
96,Pacos Ferreira,1513.7833084463084,19,15,Sp Braga,1543.4722182218823
97,Reading,1513.7804220846308,25.5,20.5,Bristol City,1530.825270430003
98,Everton,1512.5409736783056,21,17,West Ham,1548.8216350984596
99,Reggina,1512.4907583339068,19,19,Monza,1558.5263977519705
100,Montpellier,1510.9726951754064,20,18,Lyon,1599.6030615685606
101,Milton Keynes Dons,1510.8142574611113,23.5,22.5,Sunderland,1540.1958842444676
102,Portsmouth,1510.6418641783794,25.5,20.5,Lincoln,1539.1835006607498
103,Leverkusen,1510.1550028146405,19,15,Ein Frankfurt,1586.0890349041542
104,Guingamp,1509.7377732224613,18.5,19.5,Grenoble,1517.9906707182204
105,Heidenheim,1508.9091788284459,18,16,Holstein Kiel,1552.256852535542
106,Ipswich,1508.698260829355,25,21,Doncaster,1543.991251637777
107,Paderborn,1508.5551976503166,17.5,16.5,Bochum,1572.421426655181
108,Accrington,1507.1161220880433,24.5,21.5,Hull,1554.4212337729969
109,St Pauli,1505.3422193957224,17,17,Greuther Furth,1570.4315589653631
110,M'gladbach,1505.0112438451015,18,16,Ein Frankfurt,1591.9763131925324
111,Aston Villa,1503.6418028952646,19.5,18.5,Chelsea,1577.31363769743
112,Nurnberg,1502.4122223328097,16.5,17.5,Karlsruhe,1541.3405063308855
113,Las Palmas,1502.367287634601,21,21,Espanol,1577.1945437809059
114,Sampdoria,1501.7299101881783,18.5,19.5,Inter,1586.6418719639253
115,Millwall,1501.4229594416704,23.5,22.5,Reading,1538.405574982558
116,Burton,1499.6748755028182,21,25,Peterboro,1579.9157822644752
117,Groningen,1498.451456836869,18,16,AZ Alkmaar,1533.0053547830585
118,Nancy,1498.2443085703533,18,20,Troyes,1590.3164128632097
119,Oviedo,1497.8345752499322,20.5,21.5,Sp Gijon,1536.7308024152148
120,Mainz,1497.3204383723476,14.5,19.5,Bayern Munich,1637.913066000431
121,Cremonese,1496.9310764756133,18,20,Pisa,1509.511914827062
122,Frosinone,1496.919868359631,19,19,Reggina,1522.9868344308056
123,Nice,1496.7463930002273,18.5,19.5,Lyon,1610.0125992517633
124,Luton,1496.669887863302,22.5,23.5,Watford,1605.8393719297437
125,Preston,1496.5159873364357,21.5,24.5,Barnsley,1571.6897823722556
126,Moreirense,1495.9663027914446,16.5,17.5,Farense,1500
127,Santa Clara,1495.8651276333658,16.5,17.5,Pacos Ferreira,1557.456872818577
128,Sochaux,1495.6698216247705,19.5,18.5,Caen,1524.5150402547729
129,Hoffenheim,1495.4457857025234,16,18,Wolfsburg,1579.168649607368
130,Ascoli,1495.1153888671813,16.5,21.5,Empoli,1599.361880737134
131,Vicenza,1493.5745272746376,18.5,19.5,Chievo,1530.1584620646308
132,Fuenlabrada,1492.9918243671318,21,21,Mallorca,1590.3182558970386
133,Ponferradina,1491.559323575011,21,21,Almeria,1568.534849088631
134,Heracles,1491.310367214881,16,18,Groningen,1546.0941633060104
135,Pau FC,1490.131168104427,16.5,21.5,Clermont,1568.6785262101332
136,Le Havre,1489.8796455518618,18,20,Troyes,1604.7518962603285
137,Stuttgart,1489.193862698353,16.5,17.5,Dortmund,1523.6147190731663
138,Belenenses,1488.306815057776,15.5,18.5,Sp Braga,1538.0348469999526
139,Middlesbrough,1488.059284069229,23,23,Swansea,1538.554703556713
140,Fleetwood Town,1487.8902815721804,22,24,Doncaster,1575.2237041443818
141,Freiburg,1487.4859885060825,16.5,17.5,Leverkusen,1528.3971819172264
142,Pisa,1487.2818387429156,18.5,19.5,Monza,1554.69416417968
143,Tenerife,1486.6819734351268,19.5,22.5,Sp Gijon,1545.6441149291807
144,Ajaccio,1485.4383915424366,17.5,20.5,Grenoble,1545.632795547839
145,Famalicao,1484.9210315144792,15,19,Pacos Ferreira,1552.7339509309138
146,Cartagena,1484.7658742528808,18.5,23.5,Espanol,1605.9015009186705
147,Ath Bilbao,1484.1650400313847,17.5,20.5,Ath Madrid,1617.7194790134752
148,Amiens,1484.0983065572805,18,20,Troyes,1578.2742181440578
149,Rodez,1483.3749787237923,17.5,20.5,Toulouse,1580.53272263404
150,St Etienne,1481.889074367479,17,21,Rennes,1534.3635518276171
151,Coventry,1481.8538974999765,20.5,25.5,Brentford,1578.7679819982736
152,Stoke,1481.5960298302352,22.5,23.5,Bournemouth,1554.7913541964554
153,Alcorcon,1481.220696751931,18,24,Espanol,1596.9616551931497
154,Zaragoza,1480.5444575191577,18,24,Almeria,1554.4438312697384
155,Erzgebirge Aue,1479.4000997815472,16,18,Bochum,1559.4592327903438
156,Newcastle,1478.3211724414373,16.5,21.5,West Ham,1564.141941627403
157,Osasuna,1476.8887700438056,16.5,21.5,Villarreal,1533.5632435844316
158,Nott'm Forest,1476.3824091907907,20,26,Cardiff,1538.142403306829
159,Mirandes,1476.244126103698,20,22,Sp Gijon,1556.9049960133814
160,Malaga,1475.6789060352824,19.5,22.5,Vallecano,1528.255888165493
161,Genoa,1474.7862071441878,16,22,Napoli,1538.9334100814392
162,Blackburn,1474.6224185077824,21,25,Middlesbrough,1524.0472814041213
163,Lorient,1474.3143872556639,15.5,22.5,Paris SG,1580.6911155212251
164,Sabadell,1473.5222538236837,17.5,24.5,Mallorca,1573.408194471649
165,Pordenone,1471.7295333364084,17.5,20.5,Salernitana,1544.1285584632903
166,Valencia,1471.6530632498987,16.5,21.5,Real Madrid,1536.7551900754524
167,Boavista,1471.2232828949661,14,20,Benfica,1544.7224955245986
168,For Sittard,1470.2833991785506,14.5,19.5,Heerenveen,1501.9491400916413
169,Brighton,1469.7994394955422,16,22,Man City,1637.8822623595363
170,AFC Wimbledon,1469.763094033417,19.5,26.5,Peterboro,1536.7508320615889
171,Gil Vicente,1469.5269710309692,14,20,Benfica,1598.221165774737
172,Valenciennes,1469.0524383935688,17.5,20.5,Toulouse,1575.8196581901866
173,Doncaster,1468.66896727469,22.5,23.5,Lincoln,1566.6348039661996
174,Reims,1468.4294765943548,16.5,21.5,Montpellier,1508.50803849905
175,Shrewsbury,1467.5869455889645,20.5,25.5,Blackpool,1559.4333132325244
176,Metz,1467.502366286851,17.5,20.5,Lyon,1584.382911170352
177,Strasbourg,1467.0106682221976,15.5,22.5,Monaco,1587.4092837050696
178,Birmingham,1466.2357624847161,19.5,26.5,Swansea,1568.6097146709906
179,Zwolle,1465.8979000917836,14.5,19.5,Vitesse,1557.615721232297
180,Hannover,1465.465884145335,15,19,St Pauli,1527.8806783846985
181,Guimaraes,1465.0303263845844,15.5,18.5,Santa Clara,1498.1452520280425
182,Cadiz,1464.2465272810302,16.5,21.5,Real Madrid,1529.1548841756655
183,Nantes,1464.1551880697987,15.5,22.5,Paris SG,1589.645502409602
184,Heerenveen,1463.4769991338767,15,19,Vitesse,1559.979384336855
185,Twente,1462.5272380356982,15.5,18.5,Ajax,1566.0881665006868
186,Regensburg,1461.6662118525367,14.5,19.5,Erzgebirge Aue,1518.0697046451962
187,Fiorentina,1461.1047254134276,15.5,22.5,Lazio,1583.4703573084569
188,Bielefeld,1460.7465102701904,13,21,Leverkusen,1527.6519257301445
189,Dunkerque,1460.1435045251092,15.5,22.5,Niort,1524.047232851953
190,Lugo,1459.8894483346842,18,24,Vallecano,1542.7412144930965
191,Torino,1459.6469948794745,15,23,Roma,1552.1500873625123
192,Wolves,1459.584438632808,16.5,21.5,Chelsea,1533.140957192159
193,Hertha,1457.868227899977,13.5,20.5,Union Berlin,1525.9086317324186
194,Rochdale,1457.3302485029928,18,28,Blackpool,1571.670162514591
195,Granada,1455.9544134143468,16.5,21.5,Barcelona,1624.550899229974
196,Levante,1454.6700489386903,16,22,Ath Madrid,1619.9632071999156
197,Bordeaux,1454.6470211045369,16,22,Lens,1532.6578849697496
198,Crystal Palace,1454.6453341531771,16,22,Leeds,1500.2683382292878
199,Bologna,1454.3790905218364,15.5,22.5,Lazio,1560.7973187520424
200,FC Emmen,1453.7658569921207,11.5,22.5,Utrecht,1536.4575053219003
201,Caen,1453.7031537859932,16,22,Clermont,1592.8708866655331
202,Spezia,1453.5849924159722,15,23,Milan,1592.6035272043423
203,Chambly,1453.2428597736478,14.5,23.5,Amiens,1497.2380207377996
204,Rio Ave,1452.326944885858,13.5,20.5,Guimaraes,1539.8855928764422
205,Verona,1452.228345768663,16.5,21.5,Napoli,1542.8158766066178
206,Wigan,1452.151691782494,17.5,28.5,Sunderland,1576.9320615034435
207,Niort,1451.308109819149,16,22,Toulouse,1570.3804019372865
208,Portimonense,1450.5825109166246,13,21,Maritimo,1510.264538572238
209,FC Koln,1450.2233135979768,12.5,21.5,RB Leipzig,1593.3685679870541
210,Wycombe,1449.8299820268865,16,30,Bournemouth,1567.9826149946114
211,Cagliari,1449.733059542081,14,24,Roma,1541.4846142124536
212,Maritimo,1449.4460236026746,12.5,21.5,Sp Braga,1572.6624303388128
213,Alaves,1449.1581038493289,14.5,23.5,Villarreal,1531.0612461555581
214,Plymouth,1447.9961617710057,19.5,26.5,Lincoln,1565.6655628893866
215,Udinese,1447.248104962947,15,23,Lazio,1517.906027208152
216,Tondela,1447.2044133337884,13,21,Santa Clara,1507.5576370644137
217,Angers,1446.2842180068142,16,22,Lille,1573.1081416107727
218,Brest,1446.026412464574,15,23,Lille,1545.15034649719
219,Huddersfield,1445.2097855238849,18.5,27.5,Swansea,1591.1776219709889
220,Willem II,1444.6355143761339,11.5,22.5,Heracles,1509.5
221,Farense,1443.4378891083336,12,22,Pacos Ferreira,1521.0765074357703
222,Northampton,1442.483875381327,17,29,Portsmouth,1534.4503253776925
223,Sandhausen,1441.1798360161627,12,22,Hamburg,1547.1797899447984
224,Southampton,1441.023629420299,15.5,22.5,Liverpool,1563.9535930511224
225,Logrones,1440.190664225076,16.5,25.5,Cartagena,1510.8928931972598
226,Burnley,1439.4715949015872,14.5,23.5,Liverpool,1553.2766097065658
227,Cosenza,1439.2259712997436,14.5,23.5,Chievo,1532.190546703509
228,Elche,1437.5232885769494,14,24,Sevilla,1570.1811036973145
229,Sheffield Weds,1437.075884058299,17.5,28.5,Barnsley,1570.3669992343957
230,Huesca,1436.8241917155465,13.5,24.5,Sociedad,1536.877833944046
231,Getafe,1436.4515195258796,14.5,23.5,Barcelona,1520.2555688983584
232,Braunschweig,1435.127544627774,12,22,Heidenheim,1517.0754721742153
233,Augsburg,1435.0537407158174,13,21,Union Berlin,1535.1496465708065
234,Nimes,1433.2805834740316,13,25,Lille,1609.6270173680377
235,Waalwijk,1427.1296846890184,11.5,22.5,Twente,1533.47678844756
236,Castellon,1426.735096022563,15,27,Mallorca,1586.3219272752144
237,Albacete,1426.0165577520413,14.5,27.5,Vallecano,1517.2831238099195
238,Osnabruck,1424.9013344621335,12,22,Holstein Kiel,1558.626496159812
