season,rank,team,league,elo,wins,draws,losses,games,best_win_name,best_win_elo
2012,9,Paris SG,FRA 1st,1756.97573821875,25,8,5,38,Lyon,1618.58818696249
2012,40,St Etienne,FRA 1st,1619.83813088153,16,15,7,38,Paris SG,1754.30682458816
2012,50,Lille,FRA 1st,1599.47125342448,16,14,8,38,St Etienne,1619.83815189302
2012,57,Lyon,FRA 1st,1591.86995278647,19,10,9,38,St Etienne,1622.33774300296
2012,63,Nice,FRA 1st,1571.56257913868,18,10,10,38,Paris SG,1719.35066741187
2012,65,Marseille,FRA 1st,1569.47815936569,21,8,9,38,St Etienne,1588.60347495012
2012,90,Bordeaux,FRA 1st,1521.60328648406,13,16,9,38,Lyon,1617.84068567991
2012,102,Toulouse,FRA 1st,1505.51134349465,13,12,13,38,Lyon,1617.27202686467
2012,108,Lorient,FRA 1st,1501.88504835849,14,11,13,38,St Etienne,1627.32714750165
2012,133,Evian Thonon Gaillard,FRA 1st,1479.16606018349,10,10,18,38,Lille,1608.53330578532
2012,144,Montpellier,FRA 1st,1475.32997619714,15,7,16,38,Bordeaux,1571.68847570608
2012,146,Valenciennes,FRA 1st,1471.50493359081,12,12,14,38,Marseille,1613.01789034462
2012,154,Bastia,FRA 1st,1464.70235114931,13,8,17,38,Lyon,1612.97488334437
2012,163,Reims,FRA 1st,1458.80311813908,10,13,15,38,Paris SG,1742.74255630539
2012,187,Troyes,FRA 1st,1440.45142192671,8,13,17,38,Marseille,1591.54029460591
2012,196,Sochaux,FRA 1st,1432.74343113242,10,11,17,38,Paris SG,1752.83152138663
2012,206,Ajaccio,FRA 1st,1428.0117210803,9,15,14,38,Lyon,1635.88856804186
2012,209,Nancy,FRA 1st,1426.72854838353,9,11,18,38,Nice,1590.66213691398
2012,227,Rennes,FRA 1st,1394.77198207601,13,7,18,38,Paris SG,1730.01292763396
2012,262,Brest,FRA 1st,1289.59096398843,8,5,25,38,Bordeaux,1535.6113468948
