season,rank,team,league,elo,wins,draws,losses,games,best_win_name,best_win_elo
2021,19,Toulouse,FRA 2nd,1708.77744390857,23,10,5,38,Auxerre,1653.01031887039
2021,34,Auxerre,FRA 2nd,1652.04745682389,21,11,6,38,Sochaux,1576.80957637116
2021,39,Ajaccio,FRA 2nd,1638.35185918859,22,9,7,38,Toulouse,1722.00074951376
2021,53,Paris FC,FRA 2nd,1607.08533915832,20,10,8,38,Ajaccio,1627.6327495131
2021,61,Sochaux,FRA 2nd,1595.56055351905,19,11,8,38,Paris FC,1615.18153446923
2021,79,Guingamp,FRA 2nd,1565.08030858607,15,13,10,38,Auxerre,1665.26590635393
2021,95,Caen,FRA 2nd,1534.73787346722,13,11,14,38,Toulouse,1728.74129646124
2021,105,Bastia,FRA 2nd,1516.15882539419,10,16,12,38,Ajaccio,1675.49045695197
2021,128,Amiens,FRA 2nd,1493.94815765663,9,17,12,38,Guingamp,1551.17961513001
2021,132,Dijon,FRA 2nd,1490.58628890543,13,8,17,38,Auxerre,1650.07393089547
2021,153,Grenoble,FRA 2nd,1460.91908225309,12,8,18,38,Nimes,1540.88708336189
2021,155,Le Havre,FRA 2nd,1459.74348640897,13,11,14,38,Auxerre,1625.3355703007
2021,164,Valenciennes,FRA 2nd,1452.30532618672,10,14,14,38,Sochaux,1615.91498280565
2021,165,Niort,FRA 2nd,1451.55907800015,12,10,16,38,Toulouse,1718.05697232167
2021,166,Pau FC,FRA 2nd,1450.84161229309,14,7,17,38,Ajaccio,1647.34052736147
2021,172,Nimes,FRA 2nd,1447.4766476719,14,7,17,38,Sochaux,1611.8993197944
2021,183,Rodez,FRA 2nd,1439.0352472506,10,13,15,38,Toulouse,1736.42764971862
2021,205,Quevilly Rouen,FRA 2nd,1402.15316263437,10,10,18,38,Ajaccio,1650.15257977028
2021,257,Dunkerque,FRA 2nd,1321.36997169652,8,7,23,38,Le Havre,1554.15414655556
2021,260,Nancy,FRA 2nd,1312.26227899664,6,9,23,38,Paris FC,1647.62116391491
