rank,team,elo,wins,losses,best_win_name,best_win_elo
1,Arsenal,1662.2933857551263,30.5,7.5,Man United,1612.7117964869442
2,Man City,1638.4590069577125,34,12,Wolves,1585.895250137873
3,Sp Lisbon,1627.974686359072,26.5,7.5,Leiria,1558.1031366037678
4,Liverpool,1620.275267059707,28,10,Newcastle,1574.6672218912765
5,Juventus,1619.0455198976206,25.5,8.5,Bologna,1539.7539298310703
6,Roma,1613.7677770110745,25.5,8.5,Chievo,1549.4248926666353
7,Valencia,1613.0611944249638,27,11,La Coruna,1561.7667734115964
8,Hannover,1612.7322673248143,26.5,7.5,Mainz,1567.6724139373619
9,Ajax,1609.2872467772554,25.5,8.5,Heerenveen,1565.7854401460809
10,West Brom,1605.405733797188,31,15,Wolves,1563.604017694471
11,Brighton,1604.1816870864302,32.5,13.5,Reading,1588.0224683058227
12,PSV Eindhoven,1601.081031110865,24,10,Feyenoord,1567.1449039266145
13,Man United,1599.9871060359276,26.5,11.5,Chelsea,1563.4003375588834
14,Bayern Munich,1594.4158953130877,24,10,Hertha,1574.279985090737
15,Inter,1594.2468340520072,24.5,9.5,Roma,1600.431262688542
16,Dortmund,1593.5183058963767,24.5,9.5,Kaiserslautern,1545.9523107679302
17,Boavista,1590.6258458746177,24.5,9.5,Leiria,1549.208519797827
18,Cardiff,1589.9609681594745,30,16,Stoke,1557.9385584770732
19,Bochum,1586.3570439198486,23,11,Hannover,1597.120003281873
20,Como,1586.1779610187336,26,12,Modena,1581.0901243955684
21,Ajaccio,1585.2900745331729,26,12,Le Havre,1560.857121436431
22,Porto,1584.1632458958427,23.5,10.5,Benfica,1554.555870143147
23,Bielefeld,1583.1535939654254,23,11,Hannover,1607.605874554757
24,Lyon,1582.1002665155856,23,11,Lens,1569.1943546283194
25,Leverkusen,1578.4189664032115,24,10,Dortmund,1581.7832517909087
26,Reading,1577.6371618548683,30.5,15.5,Stoke,1535.6397080431675
27,Modena,1575.8393341547915,26,12,Reggina,1552.9196463961127
28,Benfica,1574.4210773709906,23,11,Boavista,1593.8801019598466
29,Wolves,1571.8059936237967,30.5,15.5,Wimbledon,1536.6005895994092
30,La Coruna,1571.2218855695983,24,14,Real Madrid,1560.1433735452451
31,Brentford,1569.7770700681226,29.5,16.5,Huddersfield,1576.0001088476083
32,Newcastle,1568.70555408642,25,13,Leeds,1568.8074524093618
33,Ath Madrid,1567.6266188516936,28,14,Recreativo,1542.612007856756
34,Santander,1566.5868708957835,26,16,Ath Madrid,1580.1113205850204
35,Vitesse,1564.7682499083567,22,12,Ajax,1587.9916264311692
