season,rank,team,league,elo,wins,draws,losses,games,best_win_name,best_win_elo
2018,3,Benfica,POR 1st,1880.58528225866,28,3,3,34,Porto,1850.53673314287
2018,5,Porto,POR 1st,1855.81621897519,27,4,3,34,Sp Lisbon,1749.54844649579
2018,11,Sp Lisbon,POR 1st,1742.02926344067,23,5,6,34,Sp Braga,1656.49706036813
2018,53,Sp Braga,POR 1st,1591.14115579532,21,4,9,34,Sp Lisbon,1757.81144855578
2018,81,Guimaraes,POR 1st,1548.5645355667,15,7,12,34,Porto,1860.05725102881
2018,114,Boavista,POR 1st,1509.14993227879,13,5,16,34,Sp Braga,1603.57064071229
2018,127,Rio Ave,POR 1st,1498.69218599153,12,9,13,34,Guimaraes,1568.78314007172
2018,143,Moreirense,POR 1st,1483.37878762884,16,4,14,34,Benfica,1850.19346096879
2018,155,Santa Clara,POR 1st,1469.21202625106,11,9,14,34,Guimaraes,1569.08551822635
2018,178,Aves,POR 1st,1441.26479529545,10,6,18,34,Guimaraes,1554.55661778734
2018,189,Belenenses,POR 1st,1430.59394703979,10,13,11,34,Benfica,1880.95757773477
2018,200,Portimonense,POR 1st,1420.2293727327,11,6,17,34,Benfica,1841.00073226492
2018,210,Maritimo,POR 1st,1411.84181405709,12,3,19,34,Sp Braga,1619.47299961426
2018,216,Setubal,POR 1st,1404.32866067245,8,12,14,34,Aves,1500
2018,219,Tondela,POR 1st,1398.80983090434,9,8,17,34,Sp Lisbon,1737.64821696115
2018,230,Chaves,POR 1st,1366.2054947062,8,8,18,34,Moreirense,1537.57438217322
2018,255,Nacional,POR 1st,1291.27052743951,7,7,20,34,Guimaraes,1581.77321156646
2018,260,Feirense,POR 1st,1256.88616896571,3,11,20,34,Guimaraes,1546.95970914735
