rank,team,league,elo,wins,draws,losses,best_win_name,best_win_elo
1,Man City,ENG,1680.2533590587466,32,4,2,Tottenham,1611.1049740944861
2,Juventus,ITA,1668.1581435999417,30,5,3,Napoli,1597.9938538428771
3,Porto,POR,1662.0633208353102,28,4,2,Benfica,1648.8587841833091
4,Barcelona,ESP,1660.1705970073565,28,9,1,Ath Madrid,1624.9733744793205
5,Paris SG,FRA,1650.6492592988222,29,6,3,Monaco,1616.1405674189311
6,Bayern Munich,GER,1646.249334387574,27,3,4,Dortmund,1558.271390399132
7,Napoli,ITA,1644.6726788532842,28,7,3,Juventus,1665.6996494145244
8,PSV Eindhoven,NED,1639.4790633008997,26,5,3,Ajax,1620.4590384222083
9,Benfica,POR,1634.476645992079,25,6,3,Sp Braga,1565.365733014085
10,Reims,FRA2,1633.4841501840565,28,4,6,Ajaccio,1572.0367176861314
11,Ajax,NED,1631.7655768128357,25,4,5,PSV Eindhoven,1597.7572933618305
12,Blackburn,ENG3,1624.230016155487,28,12,6,Shrewsbury,1581.6855049794178
13,Empoli,ITA2,1622.4311299519495,24,13,5,Palermo,1566.8953697926393
14,Wolves,ENG2,1618.6920239283957,30,9,7,Cardiff,1599.9584607666018
15,Sp Lisbon,POR,1617.613578775403,24,6,4,Maritimo,1518.4357861405872
16,Wigan,ENG3,1617.612154604941,29,11,6,Charlton,1532.696326372811
17,Fulham,ENG2,1616.9696861720715,25,13,8,Wolves,1612.539208440279
18,Monaco,FRA,1609.1737486423397,24,8,6,Lyon,1583.307456148937
19,Sp Braga,POR,1607.055527909724,24,3,7,Sp Lisbon,1618.35161822036
20,Man United,ENG,1606.9618540478862,25,6,7,Man City,1671.3314095284486
21,Marseille,FRA,1604.3585846070882,22,11,5,Nice,1518.0686442150147
22,Lyon,FRA,1604.3551839605161,23,9,6,Paris SG,1630.6751690417875
23,Tottenham,ENG,1602.6222549390127,23,8,7,Man United,1595.6067729847425
24,Roma,ITA,1601.495384442164,23,8,7,Napoli,1646.7825770645272
25,Ath Madrid,ESP,1601.1257100136474,23,10,5,Valencia,1542.1951446328778
26,Real Madrid,ESP,1600.0271880194016,22,10,6,Valencia,1552.4844685229277
27,Liverpool,ENG,1594.1546713060375,21,12,5,Man City,1647.535497956842
28,AZ Alkmaar,NED,1592.978722792383,22,5,7,Vitesse,1518.4809965128766
29,Cardiff,ENG2,1584.644051385968,27,9,10,Leeds,1542.275249740219
30,Feyenoord,NED,1583.0102823703032,20,6,8,AZ Alkmaar,1586.9904238065435
31,Nimes,FRA2,1582.0833970532763,22,7,9,Paris FC,1540.892222657805
32,Schalke 04,GER,1574.8521688245812,18,9,7,Dortmund,1558.7660404308003
33,Vallecano,ESP2,1573.8618528552172,21,13,8,Huesca,1586.8974455245955
34,Inter,ITA,1573.0663500728065,20,12,6,Lazio,1582.446884907853
35,Zaragoza,ESP2,1572.6960213747225,20,11,11,Sp Gijon,1583.5717945618194
36,Lazio,ITA,1571.8731865594018,21,9,8,Juventus,1554.5385051263816
37,Aston Villa,ENG2,1570.046963738709,24,11,11,Wolves,1608.2663461917723
38,Valencia,ESP,1569.6463438722033,22,7,9,Sevilla,1524.7128113515487
39,Shrewsbury,ENG3,1561.8306988084285,25,12,9,Scunthorpe,1531.4054745816663
40,Parma,ITA2,1561.7591260518989,21,9,12,Palermo,1563.682017978498
41,Millwall,ENG2,1561.668862514357,19,15,12,Aston Villa,1580.3369411504445
42,Brest,FRA2,1561.2198190703868,18,11,9,Clermont,1552.7158287909313
43,Milan,ITA,1559.9688160037927,18,10,10,Lazio,1583.1301222489349
44,Huesca,ESP2,1559.9577696303722,21,12,9,Lugo,1539.2826064685453
45,Le Havre,FRA2,1558.9618169574248,19,9,10,Reims,1642.0054227160833
46,Rotherham,ENG3,1557.9896096384157,24,7,15,Shrewsbury,1580.2520857234153
47,Palermo,ITA2,1557.7249036359729,18,17,7,Frosinone,1563.7836631676175
48,Chelsea,ENG,1557.4920659255254,21,7,10,Liverpool,1598.505055230525
49,Fortuna Dusseldorf,GER2,1556.987270135331,19,6,9,Nurnberg,1564.6719245487507
50,Frosinone,ITA2,1556.5438421929753,19,15,8,Venezia,1540.5247099245498
51,Ajaccio,FRA2,1555.3149424617204,20,8,10,Clermont,1547.9559426495405
52,Nurnberg,GER2,1554.6892594858434,17,9,8,Fortuna Dusseldorf,1540.9256881659758
53,Clermont,FRA2,1551.7883154227404,17,12,9,Reims,1607.9163310589972
54,Middlesbrough,ENG2,1549.077097447341,22,10,14,Millwall,1561.4326314202851
55,Venezia,ITA2,1546.7894307559131,17,16,9,Palermo,1554.8527029251811
56,Holstein Kiel,GER2,1545.7248898345024,14,14,6,Duisburg,1529.5635540890585
57,Sp Gijon,ESP2,1545.39167006942,21,8,13,Vallecano,1579.8322746497445
58,Valladolid,ESP2,1545.328602496107,19,10,13,Huesca,1598.7381375452692
59,Bari,ITA2,1545.0015778785048,18,13,11,Frosinone,1574.288214246892
60,Scunthorpe,ENG3,1544.420074562079,19,17,10,Plymouth,1552.4076665482128
61,Preston,ENG2,1542.7110669969757,19,16,11,Cardiff,1555.7629908957406
62,Hoffenheim,GER,1542.0989221171144,15,10,9,RB Leipzig,1545.7462041171211
63,Atalanta,ITA,1540.5664383996232,16,12,10,Roma,1568.1269726215955
64,Rennes,FRA,1540.2635822395644,16,10,12,Paris SG,1670.5501263170813
65,Cittadella,ITA2,1539.861336771085,18,12,12,Palermo,1540.6470316149264
66,Derby,ENG2,1538.510108153061,20,15,11,Cardiff,1593.8367709168233
67,Stuttgart,GER,1538.2609609235094,15,6,13,Bayern Munich,1659.9607354782477
68,Leverkusen,GER,1537.7326615545915,15,10,9,RB Leipzig,1536.1470039625203
69,Villarreal,ESP,1535.830405945841,18,7,13,Ath Madrid,1622.1733723816008
70,Utrecht,NED,1534.6826395975436,14,12,8,Ajax,1545.0905969911096
71,Brentford,ENG2,1534.3610464384221,18,15,13,Aston Villa,1535.0835353046346
72,Dortmund,GER,1533.5849470628407,15,10,9,Leverkusen,1551.8179402633875
73,Plymouth,ENG3,1532.3275934485066,19,11,16,Blackburn,1591.5945546115981
74,Paris FC,FRA2,1531.888615545827,16,13,9,Ajaccio,1541.9916016500674
75,Arsenal,ENG,1531.06896957278,19,6,13,Tottenham,1542.7290637348221
76,Osasuna,ESP2,1530.8766002307234,16,16,10,Cadiz,1546.364184902107
77,Chateauroux,FRA2,1529.5692881642344,17,9,12,Reims,1550.7679764712213
78,Betis,ESP,1526.7162766774406,18,6,14,Villarreal,1543.2810855601574
79,St Etienne,FRA,1523.540550374565,15,10,13,Montpellier,1508.6952347310296
80,Oviedo,ESP2,1523.1110507518106,18,11,13,Huesca,1571.0568819536602
81,Torino,ITA,1522.9768510979868,13,15,10,Inter,1577.5435166107504
82,Charlton,ENG3,1522.9462501419707,20,11,15,Blackburn,1630.4705621401238
83,Lorient,FRA2,1522.4955431557107,18,8,12,Reims,1601.5292582888103
84,Cadiz,ESP2,1522.380240829874,16,16,10,Zaragoza,1559.469191622282
