rank,team,elo,wins,losses,best_win_name,best_win_elo
1,Monaco,1678.6766266624086,32.5,5.5,Nice,1591.3261625782159
2,Real Madrid,1662.3828723502863,32,6,Sevilla,1571.5922994044258
3,Barcelona,1659.883288050251,31,7,Real Madrid,1640.3406439075643
4,Chelsea,1657.0762098934326,31.5,6.5,Man City,1579.8967359711285
5,Napoli,1651.8845684196506,30,8,Roma,1607.3191931882027
6,Bayern Munich,1648.3484787723594,28.5,5.5,RB Leipzig,1582.9746261325404
7,Benfica,1647.6920550691782,28.5,5.5,Guimaraes,1580.8224909127966
8,Juventus,1646.3049494734362,31,7,Roma,1567.9678722618473
9,Tottenham,1643.5482490549227,30,8,Chelsea,1615.699147545175
10,Paris SG,1640.8145798292462,30,8,Lyon,1545.8154999199571
11,Sheffield United,1640.7445747360314,35,11,Bradford,1569.6244474926891
12,Ajax,1639.4921725175166,28,6,Feyenoord,1635.9012931818222
13,Roma,1638.3252198363925,29.5,8.5,Juventus,1647.2176576577576
14,Feyenoord,1632.5463387588195,28,6,PSV Eindhoven,1603.839804147041
15,PSV Eindhoven,1629.248444048512,27,7,Ajax,1640.5873799867222
16,Porto,1618.1686945848935,27,7,Sp Lisbon,1557.1388666115313
17,Ath Madrid,1614.8892089422877,27.5,10.5,Sevilla,1592.7628377463616
18,Man City,1607.0216724651677,27.5,10.5,Arsenal,1561.6948585503112
19,Newcastle,1601.2317824007291,32.5,13.5,Brighton,1614.673772141168
20,Nice,1598.0824198295754,28,10,Paris SG,1646.176275420543
21,Hannover,1594.1954091933026,24,10,Stuttgart,1594.871945621743
22,Liverpool,1593.9134765598221,27,11,Tottenham,1589.748940275658
23,Brighton,1592.8191076465557,32.5,13.5,Reading,1556.5135184484855
24,Stuttgart,1590.970426781498,24,10,Union Berlin,1561.1322524274851
25,Sp Lisbon,1589.538373173755,24.5,9.5,Sp Braga,1538.8359760916817
26,Atalanta,1588.9596177235885,25.5,12.5,Napoli,1596.6993081679514
27,Spal,1585.2648778090272,28,14,Benevento,1540.5784011143812
28,Arsenal,1584.8366173287804,26,12,Man United,1593.0458255580875
29,Dortmund,1584.5130916425587,23,11,RB Leipzig,1590.3900454773332
30,Levante,1582.647505082262,29.5,12.5,Girona,1568.4368045886654
31,Fulham,1582.5041137137584,29,17,Newcastle,1607.7083148200493
32,Braunschweig,1579.3871133494313,23.5,10.5,Union Berlin,1559.708756491191
33,Bolton,1577.4963023056005,30.5,15.5,Fleetwood Town,1580.225701810207
34,Hoffenheim,1577.3382570942636,23,11,Bayern Munich,1635.9783292559027
35,Man United,1577.3077722697035,25.5,12.5,Chelsea,1636.8014127744082
36,Utrecht,1576.5626751795655,22,12,Heerenveen,1525.8565403159248
37,Fleetwood Town,1576.2642418485948,29.5,16.5,Sheffield United,1576.8642545191576
38,Reading,1573.2134204745794,29.5,16.5,Leeds,1574.224975189303
39,RB Leipzig,1571.1582912337685,23.5,10.5,Hoffenheim,1556.5547187335355
40,Sevilla,1568.9052474292348,25.5,12.5,Real Madrid,1596.139248930475
41,Strasbourg,1568.3791634017273,24,14,Lens,1541.5890690199008
42,Bradford,1567.927149631068,29.5,16.5,AFC Wimbledon,1520.7949303343141
43,Nimes,1567.5608431982075,23.5,14.5,Lens,1547.3986657981677
44,Sheffield Weds,1566.0344546853316,28.5,17.5,Newcastle,1604.3857738463744
45,Verona,1565.0868678242225,27,15,Cittadella,1515.8905518815884
46,Guimaraes,1561.892876986832,22,12,Sp Braga,1558.638078263991
47,Troyes,1561.1066187912231,23.5,14.5,Brest,1542.4331650963788
48,Villarreal,1560.4530940427824,24,14,Ath Madrid,1609.1269213711282
49,Frosinone,1559.668364600795,26.5,15.5,Spal,1583.2927556714817
50,Amiens,1557.978968588221,23.5,14.5,Brest,1552.9369104787586
51,Lyon,1557.7319109917555,23,15,Monaco,1580.578337764193
52,Lens,1557.0010178091713,23.5,14.5,Brest,1549.948432432975
53,Scunthorpe,1555.8149780189833,29,17,Bolton,1589.759980085816
54,Lazio,1554.8895081978453,24.5,13.5,Roma,1620.785218016995
55,Marseille,1554.854855682709,22.5,15.5,Nice,1626.232036981866
56,Tenerife,1553.0499467088791,25,17,Cadiz,1548.7553109131748
57,Perugia,1551.313892516771,25,17,Benevento,1532.9435112108577
58,Getafe,1550.1742923797885,25,17,Levante,1614.4410069417884
59,Union Berlin,1547.522985524115,21,13,Braunschweig,1552.0619309745919
60,Bordeaux,1541.7452774025505,22,16,Metz,1517.776227250561
61,Sociedad,1540.9932182826744,22.5,15.5,Ath Madrid,1544.2015247716904
62,Huesca,1540.57852511332,23.5,18.5,Levante,1593.8927259207856
63,Millwall,1540.2737920446357,26.5,19.5,Southend,1547.3906828815425
64,Brest,1540.1914079568107,23,15,Lens,1557.5003476731422
65,Ath Bilbao,1539.825843234296,22,16,Sociedad,1555.9245142098723
66,Huddersfield,1537.3065867175328,28,18,Brighton,1610.9549469681015
67,Leeds,1535.6598973509408,26.5,19.5,Brighton,1602.1693631599612
68,Cadiz,1534.935753088714,24,18,Girona,1590.1410136949385
69,Girona,1532.5921475155726,25,17,Levante,1552.719129743277
70,Everton,1532.2475713990802,22,16,Arsenal,1574.020867556758
71,Southend,1531.73599553198,26,20,Scunthorpe,1581.73947097978
72,Carpi,1529.290435133702,23,19,Cittadella,1528.8047554667128
73,Fiorentina,1529.2373905389065,22,16,Juventus,1597.6335240204808
74,Milan,1528.5188303548916,22.5,15.5,Juventus,1553.0242247158214
75,Alaves,1527.653031022993,20.5,17.5,Ath Bilbao,1563.0203207833229
76,Valladolid,1527.6130353000372,22.5,19.5,Getafe,1555.2901888326755
77,Norwich,1526.8023978251144,25,21,Brighton,1621.1890753345729
78,Oxford,1526.0380770358613,24.5,21.5,Bradford,1547.827491119322
79,Inter,1525.6419678601926,21.5,16.5,Lazio,1580.5805459726932
80,Feirense,1523.6895795859054,17,17,Sp Lisbon,1595.0688674779042
81,Benevento,1523.475603462886,24,18,Frosinone,1562.61537192833
82,Maritimo,1522.375403957745,18.5,15.5,Benfica,1575.453530318852
83,Rochdale,1522.0451219746774,25,21,Scunthorpe,1577.7032812541268
84,St Pauli,1520.6923210312223,16.5,17.5,Braunschweig,1546.376269411986
85,Spezia,1518.5251270364354,22.5,19.5,Verona,1548.3902007160207
86,Espanol,1517.0793978592485,20.5,17.5,Sevilla,1582.01845166968
87,Le Havre,1514.9064148706539,20,18,Lens,1543.131897347519
88,FC Koln,1514.1016231275426,18.5,15.5,Werder Bremen,1531.7219270947035
89,Derby,1513.7453519897615,24.5,21.5,Fulham,1551.2139403673148
90,Vitesse,1513.4387297325966,18,16,AZ Alkmaar,1534.6448898030615
91,Sp Braga,1513.4013046343484,19.5,14.5,Sp Lisbon,1546.2779137782463
92,Torino,1511.5261052623375,20,18,Roma,1518.064100070706
93,Dresden,1509.4837397187025,18.5,15.5,Braunschweig,1557.702710471472
94,Cesena,1509.41545475643,20.5,21.5,Spezia,1519.5268826509243
95,AZ Alkmaar,1508.7475440958137,18.5,15.5,Twente,1517.2332448512918
96,Oviedo,1508.1532865138993,22,20,Girona,1579.2215302968548
97,Cardiff,1508.1286417849396,22.5,23.5,Leeds,1555.8543557409153
98,Brentford,1507.0150781497948,23,23,Sheffield Weds,1565.6980431097218
99,Gimnastic,1506.536574239717,20,22,Girona,1557.0139188116223
100,Rio Ave,1506.3262215937696,17.5,16.5,Sp Braga,1548.5632408073552
101,Nantes,1505.3012971908663,18.5,19.5,Marseille,1518.9170265370904
102,Reims,1504.7808088212769,20.5,17.5,Troyes,1539.859897864384
103,Cittadella,1504.5257865302012,22,20,Verona,1554.0386181150727
104,Milton Keynes Dons,1504.349957870328,22.5,23.5,Southend,1545.4445680450683
105,Werder Bremen,1503.9837307182306,16,18,RB Leipzig,1565.6747636385178
106,Groningen,1503.9792339246817,16.5,17.5,AZ Alkmaar,1524.5348372653714
107,Bristol Rvs,1503.931929783983,24,22,Southend,1538.6933842619494
108,Cordoba,1503.6338995257463,20.5,21.5,Girona,1543.4690111313632
109,Freiburg,1502.0209437935232,17,17,FC Koln,1533.7587723442955
110,Bochum,1501.0345422780279,17,17,Heidenheim,1534.2703737306224
111,Charlton,1500.1693060703756,23,23,Bolton,1553.528369911575
112,Aston Villa,1499.789758487306,23,23,Sheffield Weds,1550.036965396825
113,Eibar,1498.8565198942424,19.5,18.5,Villarreal,1546.128297647756
114,Boavista,1497.2758308605642,16.5,17.5,Maritimo,1525.9685986372635
115,Reus Deportiu,1496.7441119793177,21,21,Tenerife,1547.3979934563351
116,Salernitana,1496.4185483306508,20.5,21.5,Frosinone,1548.699449508078
117,Novara,1496.3516743565742,20.5,21.5,Verona,1565.9589056800273
118,Vallecano,1495.0873552615326,19.5,22.5,Levante,1605.0820045017126
119,Ajaccio GFCO,1495.0255319972555,19,19,Troyes,1525.0795145798577
120,M'gladbach,1494.472722950207,16.5,17.5,FC Koln,1513.1780636741726
121,Pro Vercelli,1492.531660695711,19.5,22.5,Frosinone,1553.9506392501837
122,Rennes,1492.4534568792221,19,19,St Etienne,1517.3034772020721
123,Greuther Furth,1492.073461389772,16.5,17.5,Stuttgart,1572.8007584196832
124,Heidenheim,1492.0256245593089,17,17,Union Berlin,1550.6991950937063
125,Oldham,1491.6619161794654,20.5,25.5,Bolton,1578.93850243485
126,Schalke 04,1490.8393875972267,16,18,Hertha,1522.6795499208777
127,Preston,1490.621703398202,23,23,Brighton,1608.1153848845715
128,Niort,1489.210233275559,18.5,19.5,Brest,1546.852899300793
129,St Etienne,1488.5712101310542,19,19,Lyon,1532.908614908999
130,Avellino,1488.157169213442,19.5,22.5,Spal,1573.0900732019575
131,Ajaccio,1487.305418626702,17.5,20.5,Brest,1549.68573572607
132,Brescia,1487.2851678993968,19.5,22.5,Cittadella,1544.4817651640835
133,Lugo,1486.9521658252065,20.5,21.5,Levante,1606.5997275672075
134,Malaga,1486.2458895119742,17,21,Barcelona,1627.45248728112
135,Heracles,1485.6114483693564,15.5,18.5,Utrecht,1541.0583049490865
136,Ternana,1484.921174760112,18,24,Spal,1591.1888619587708
137,Sampdoria,1484.8394582844378,18,20,Roma,1589.507499636422
138,Peterboro,1484.6364672378106,22.5,23.5,Bolton,1543.4496255992688
139,Blackburn,1484.3690290873735,19.5,26.5,Newcastle,1584.041692228046
140,Kaiserslautern,1483.9108305833786,15.5,18.5,Union Berlin,1525.7835763078654
141,Bielefeld,1483.8079936510615,14.5,19.5,Braunschweig,1586.670680258416
142,Bournemouth,1483.430397095057,17,21,Liverpool,1568.1829033305762
143,Ascoli,1483.177807561159,19.5,22.5,Carpi,1527.9897118918275
144,Sandhausen,1483.1726174957282,16,18,Fortuna Dusseldorf,1512.7276834354857
145,AFC Wimbledon,1483.0566472104201,22,24,Scunthorpe,1557.955637897678
146,Erzgebirge Aue,1482.7870522026988,14.5,19.5,Union Berlin,1567.8709817763217
147,Tours,1482.5648581859714,16.5,21.5,Valenciennes,1518.5569545326669
148,Fortuna Dusseldorf,1482.4740758050777,16,18,Union Berlin,1535.7799755907665
149,Twente,1482.3328733868332,16.5,17.5,Ajax,1580.6456082274863
150,Sassuolo,1482.3228706124173,16.5,21.5,Sampdoria,1524.5257968738206
151,Almeria,1481.807973657923,18.5,23.5,Cordoba,1514.0664093569455
152,Wolves,1481.6125392247138,21,25,Leeds,1562.9231317121892
153,Valencia,1481.135422572396,16.5,21.5,Real Madrid,1613.4068732313415
154,Auxerre,1480.9803114153253,16,22,Nimes,1556.6972688835062
155,Clermont,1480.800292015578,17.5,20.5,Strasbourg,1536.7303833014855
156,Hertha,1480.6637166158926,17,17,Dortmund,1561.3217499903635
157,Lille,1479.5323528707095,16.5,21.5,Lyon,1544.9210914011155
158,Alcorcon,1478.9084158200242,18.5,23.5,Levante,1589.5299891224213
159,Guingamp,1477.939568378462,18,20,Paris SG,1565.2353730668508
160,Walsall,1477.4960859342816,22,24,Sheffield United,1591.120210868085
161,Virtus Entella,1476.2153011108337,20.5,21.5,Frosinone,1542.4271503812715
162,Bari,1475.8797051474571,20,22,Frosinone,1560.4023088787906
163,Sevilla B,1475.3306026094347,20,22,Getafe,1560.029056752986
164,Numancia,1475.2999875143553,19.5,22.5,Getafe,1541.5470075050832
165,Excelsior,1474.5239438495819,14,20,Feyenoord,1640.3585246712005
166,Angers,1474.4780878611703,16.5,21.5,Nice,1613.6805817543218
167,Hamburg,1474.271560069304,14,20,Hoffenheim,1581.7292515415265
168,West Ham,1473.8605404369728,16.5,21.5,Tottenham,1639.300477978137
169,Estoril,1473.5757576617304,14,20,Rio Ave,1509.9577960470385
170,Valenciennes,1473.4664250403682,17.5,20.5,Sochaux,1538.6916292017527
171,Southampton,1473.4284483682613,17,21,Everton,1512.3003731664937
172,Leverkusen,1472.180900478772,15,19,Ein Frankfurt,1545.8363959938338
173,Augsburg,1471.9213294509514,14.5,19.5,FC Koln,1502.6858508745452
174,Zaragoza,1471.7410160543916,19,23,Oviedo,1518.7137574906671
175,UCAM Murcia,1471.4472026392502,18.5,23.5,Girona,1563.2469377571128
176,Leicester,1471.2791016749588,16,22,Liverpool,1566.5556839605374
177,Cagliari,1471.1843954207466,16.5,21.5,Milan,1540.8352194099275
178,Barnsley,1470.9796635466244,21.5,24.5,Leeds,1562.821498120014
179,Burton,1470.1131918625274,19.5,26.5,Huddersfield,1572.7910421586766
180,Mallorca,1468.8780161788713,18,24,Cordoba,1503.4990310193175
181,Ipswich,1468.8288278965072,21,25,Newcastle,1592.118218139578
182,Den Haag,1468.3992525773626,13.5,20.5,Excelsior,1518.4809965128766
183,Nurnberg,1468.050120111008,15,19,Union Berlin,1528.5079545749743
184,Bristol City,1467.98075264763,19.5,26.5,Brighton,1608.647436788202
185,Stoke,1467.779246357497,16.5,21.5,Watford,1509.094261980658
186,Orleans,1467.1402853705151,15.5,22.5,Lens,1534.5779844193316
187,Pacos Ferreira,1467.0120662520744,14,20,Sp Braga,1550.7858557467198
188,Shrewsbury,1466.5692914879514,19,27,Scunthorpe,1571.593125698711
189,Sochaux,1464.4359683053299,17.5,20.5,Nimes,1545.2453193702631
190,Udinese,1464.4039506504712,16.5,21.5,Milan,1545.0183925476772
191,Toulouse,1463.571181559628,17,21,Monaco,1547.712425880595
192,Chaves,1462.651973181828,15,19,Belenenses,1508.0149881166478
193,Trapani,1462.2445167282708,17,25,Perugia,1541.012398465921
194,Swansea,1461.8725178317432,14.5,23.5,Liverpool,1582.327118697586
195,Ein Frankfurt,1460.1520904704,15.5,18.5,Dortmund,1534.393449192011
196,Heerenveen,1460.0884617173776,15.5,18.5,Den Haag,1508.2186856578326
197,Bury,1458.8701982746657,18.5,27.5,Peterboro,1532.6062429129017
198,Metz,1457.715550095442,16,22,Marseille,1521.1182607334113
199,Roda,1456.7959907582056,13,21,Excelsior,1489.5702425829688
200,Bourg Peronnas,1456.6744622554886,16.5,21.5,Reims,1537.5037575966603
201,Northampton,1456.4384330009723,19.5,26.5,AFC Wimbledon,1508.7040829542764
202,Wolfsburg,1455.6521258238754,13.5,20.5,RB Leipzig,1579.0677287478409
