rank,team,league,elo,wins,draws,losses,best_win_name,best_win_elo
1,Leverkusen,GER,1681.4656359633489,28,6,0,Bayern Munich,1604.2606723001065
2,Real Madrid,ESP,1675.3482725713952,29,8,1,Barcelona,1622.633964490146
3,Sp Lisbon,POR,1673.3788497195858,29,3,2,Benfica,1627.6758144321643
4,PSV Eindhoven,NED,1669.841765637139,29,4,1,Twente,1581.542493326254
5,Man City,ENG,1665.407991409653,28,7,3,Aston Villa,1567.2715303837247
6,Inter,ITA,1661.2556554922917,29,7,2,Juventus,1612.0826743261464
7,Feyenoord,NED,1657.3457389983332,26,6,2,AZ Alkmaar,1565.5326900665534
8,Arsenal,ENG,1650.643262894975,28,5,5,Liverpool,1606.6741668959428
9,Barcelona,ESP,1633.0017765713078,26,7,5,Ath Madrid,1567.0522404417582
10,Benfica,POR,1627.9691910770955,25,5,4,Sp Braga,1582.736124444734
11,Paris SG,FRA,1626.6826584113724,22,10,2,Lille,1544.8047183137915
12,Portsmouth,ENG3,1624.0462168140655,28,13,5,Peterboro,1576.7714869583092
13,Ipswich,ENG2,1613.6306072092766,28,12,6,Southampton,1586.8215049585508
14,Liverpool,ENG,1613.1416226882416,24,10,4,Tottenham,1538.3715645109999
15,Stuttgart,GER,1609.6126510998636,23,4,7,Bayern Munich,1595.1874185946547
16,Derby,ENG3,1601.4410829398269,28,8,10,Bolton,1574.9256592093723
17,Porto,POR,1598.8015967034562,22,6,6,Benfica,1623.1570925641263
18,Girona,ESP,1597.1962391788322,25,6,7,Barcelona,1620.8189769931216
19,Parma,ITA2,1591.7307576047467,21,13,4,Venezia,1543.7163182344837
20,Monaco,FRA,1591.447669056259,20,7,7,Lille,1568.588397099334
21,Auxerre,FRA2,1590.4378014291508,21,11,6,Angers,1563.3339411302445
22,Holstein Kiel,GER2,1588.5949846746996,21,5,8,Hannover,1540.3758881661547
23,St Pauli,GER2,1588.2524399464767,20,9,5,Greuther Furth,1553.0655132391507
24,Como,ITA2,1588.0531830904058,21,10,7,Venezia,1557.4227247674567
25,Leicester,ENG2,1585.688291347811,31,4,11,Southampton,1585.0985032612923
26,Leeds,ENG2,1584.4822354637067,27,9,10,Leicester,1618.3301530017175
27,Ath Madrid,ESP,1583.8263926020406,24,4,10,Girona,1588.7343436541921
28,Twente,NED,1581.616015305916,21,6,7,Feyenoord,1559.5747516184629
29,Bolton,ENG3,1580.6909575486507,25,12,9,Oxford,1525.090405752778
30,Sp Braga,POR,1580.6553318058893,21,5,8,Guimaraes,1561.5215720173119
31,Milan,ITA,1579.2103261984553,22,9,7,Roma,1521.4618855637725
