rank,team,league,elo,wins,draws,losses,best_win_name,best_win_elo
1,Liverpool,ENG,1663.748227376302,32,3,3,Leicester,1569.6107452871147
2,Bayern Munich,GER,1660.7581792080518,26,4,4,Dortmund,1600.3199329381362
3,Real Madrid,ESP,1648.9274073944437,26,9,3,Barcelona,1597.4603864946262
4,Paris SG,FRA,1640.6012284050803,22,2,3,Montpellier,1527.1015782095785
5,Porto,POR,1635.0688667776803,26,4,4,Benfica,1628.4049204783023
6,Benevento,ITA2,1621.8464511122456,26,8,4,Spezia,1547.7296021230545
7,Barcelona,ESP,1618.7540614064221,25,7,6,Getafe,1559.89460361778
8,Inter,ITA,1617.225318191041,24,10,4,Atalanta,1624.8468409447769
9,Atalanta,ITA,1614.325110297788,23,9,6,Lazio,1632.5738209850545
10,Leeds,ENG2,1613.1957193566325,28,9,9,Fulham,1546.9112261534158
11,Man City,ENG,1609.5287934997968,26,3,9,Liverpool,1673.7371384612622
12,Benfica,POR,1606.1269154812856,24,5,5,Sp Lisbon,1559.4353397884418
13,Bielefeld,GER2,1601.6914493444453,18,14,2,Heidenheim,1549.289425955888
14,Coventry,ENG3,1601.3595209610548,18,13,3,Sunderland,1563.0892056508908
15,Juventus,ITA,1596.5421750555481,26,5,7,Inter,1594.7259396405043
16,Ath Madrid,ESP,1592.2009325683189,18,16,4,Villarreal,1525.46016432238
17,Dortmund,GER,1591.9676502677144,21,6,7,RB Leipzig,1587.6236138203883
18,AZ Alkmaar,NED,1589.7260056619496,18,2,5,Ajax,1590.792550132279
19,Feyenoord,NED,1587.6096558827744,14,8,3,Willem II,1544.5982627765193
20,Lazio,ITA,1585.9697795523691,24,6,8,Inter,1604.5503508715242
21,Milan,ITA,1585.6273315644441,19,9,10,Juventus,1638.1112797690334
22,Sevilla,ESP,1584.7051985243586,19,13,6,Getafe,1550.516726136065
23,RB Leipzig,GER,1584.44797705934,18,12,4,Schalke 04,1532.5798100611223
24,Marseille,FRA,1581.8764125136383,16,8,4,Rennes,1544.6950381009608
25,Ajax,NED,1580.2530084636608,18,2,5,PSV Eindhoven,1535.3596451019885
26,Fulham,ENG2,1576.9840794133195,23,12,11,Leeds,1581.8253289237086
27,Man United,ENG,1574.6620981932547,18,12,8,Man City,1588.6671865875167
28,Brentford,ENG2,1574.4249376687924,24,9,13,West Brom,1572.531888453662
29,Roma,ITA,1570.6615258803834,21,7,10,Juventus,1607.933743165787
30,Crotone,ITA2,1568.0052710824928,20,8,10,Benevento,1647.7861880700527
31,M'gladbach,GER,1567.2006322293523,20,5,9,Freiburg,1533.1697116939602
32,West Brom,ENG2,1566.5868054348127,22,17,7,Bristol City,1537.5685704942612
33,Leverkusen,GER,1566.0302176101288,19,6,9,M'gladbach,1570.8997764224418
34,Fleetwood Town,ENG3,1564.9689654829797,16,12,7,Portsmouth,1558.7848459660338
35,Lens,FRA2,1563.093644784986,15,8,5,Ajaccio,1555.7754416066139
36,Clermont,FRA2,1562.418822017284,14,8,6,Lorient,1575.235353706346
37,PSV Eindhoven,NED,1561.8806358114323,14,7,5,Willem II,1558.3507313420066
38,Ajaccio,FRA2,1559.3048271405835,15,7,6,Lorient,1559.8796454429544
39,Rotherham,ENG3,1558.7710331098642,18,8,9,Ipswich,1553.7942064926704
40,Oxford,ENG3,1554.2911876269716,17,9,9,Wycombe,1582.1315645704508
41,Portsmouth,ENG3,1553.6296027339813,17,9,9,Wycombe,1571.5681891075026
42,Sp Braga,POR,1553.4375448917194,18,6,10,Porto,1647.3872297722808
43,Cardiff,ENG2,1552.804841092615,19,16,11,Leeds,1578.490490061497
44,Lille,FRA,1551.6120168723608,15,4,9,Rennes,1550.3640714251726
45,Sp Lisbon,POR,1550.9765469239246,18,6,10,Guimaraes,1519.4855697869305
46,Peterboro,ENG3,1550.1755654946064,17,8,10,Portsmouth,1562.896764427869
47,Rennes,FRA,1550.167123043246,15,5,8,St Etienne,1521.2203078915798
48,Lorient,FRA2,1550.0965097335477,17,3,8,Nancy,1533.9642495838777
49,Troyes,FRA2,1546.860387177738,16,3,9,Lorient,1549.432358361284
50,Napoli,ITA,1546.7664087739045,18,8,12,Juventus,1616.0275059285473
51,Chelsea,ENG,1546.4751170911488,20,6,12,Man City,1592.794193845154
52,Rio Ave,POR,1543.4793848081836,15,10,9,Sp Braga,1554.11320430044
53,Darmstadt,GER2,1543.0752106550442,13,13,8,Stuttgart,1545.1637452078492
54,Sunderland,ENG3,1542.6859074935016,16,11,9,Wycombe,1550.9284589076217
55,Huesca,ESP2,1542.2081278967403,21,7,14,Zaragoza,1557.7455035710702
56,Spezia,ITA2,1541.5275210834477,17,10,11,Crotone,1530.7561025760524
57,Heidenheim,GER2,1540.9888660000838,15,10,9,Hamburg,1543.5813882005714
58,Wolves,ENG,1538.0989900396792,15,14,9,Man City,1566.5832131247964
59,Tottenham,ENG,1537.4769950624723,16,11,11,Man City,1585.1250984203593
60,Willem II,NED,1536.0371690712411,13,5,8,Ajax,1602.409058943215
61,Wycombe,ENG3,1535.6342126950572,17,8,9,Doncaster,1523.9846992313744
62,Stuttgart,GER2,1535.3381010962107,17,7,10,Hamburg,1539.056993592069
63,Villarreal,ESP,1531.3813906126452,18,6,14,Sevilla,1550.4100140885707
64,Vallecano,ESP2,1531.2935819805614,13,21,8,Zaragoza,1536.6544272824656
65,Swansea,ENG2,1530.7385848389924,18,16,12,Leeds,1535.2602565220582
66,Famalicao,POR,1529.9004139967176,14,12,8,Porto,1623.6687295108334
67,Doncaster,ENG3,1529.7821521710819,15,9,10,Oxford,1546.62721795562
68,Gillingham,ENG3,1529.0458220359878,12,15,8,Wycombe,1532.2951401475045
69,Le Havre,FRA2,1528.1257112371404,11,11,6,Troyes,1546.063586671355
70,Arsenal,ENG,1527.5946216320062,14,14,10,Liverpool,1665.7700956554543
71,Chievo,ITA2,1526.1237641189614,14,14,10,Benevento,1628.7690602482226
72,Hoffenheim,GER,1526.0671995791463,15,7,12,Dortmund,1604.5291785923537
73,Millwall,ENG2,1525.8986807810024,17,17,12,Bristol City,1546.7720200768765
74,Girona,ESP2,1525.5831367809221,17,12,13,Zaragoza,1547.236101093267
75,Utrecht,NED,1524.7956679502672,12,5,8,PSV Eindhoven,1559.7083429675008
76,Cadiz,ESP2,1521.4706431017696,19,12,11,Almeria,1543.7661617111944
77,Hamburg,GER2,1520.5047916508279,14,12,8,Stuttgart,1530.333241223781
78,Valenciennes,FRA2,1520.4141894474171,11,9,8,Lorient,1568.0433069618778
79,Pordenone,ITA2,1518.796522303438,16,10,12,Empoli,1536.9499101356942
80,Guimaraes,POR,1518.542182681467,13,11,10,Famalicao,1521.8716124474633
81,Pisa,ITA2,1518.3676728353407,14,12,12,Spezia,1554.6347132064984
82,Wigan,ENG2,1518.0893556954618,15,14,17,West Brom,1589.3291868499016
83,Bochum,GER2,1518.0579562476778,11,13,10,Heidenheim,1538.78366899681
84,Elche,ESP2,1517.610551154829,16,13,13,Almeria,1563.2670553569508
85,Reims,FRA,1517.6012205008547,10,11,7,Paris SG,1538.5170493965984
86,Hannover,GER2,1516.6810146612559,13,9,12,Heidenheim,1543.0202660273728
87,Nice,FRA,1515.9714991034705,11,8,9,Rennes,1529.43324365913
88,Burnley,ENG,1515.6271572763796,15,9,14,Leicester,1563.5348128451187
89,Granada,ESP,1514.9175758632914,16,8,14,Getafe,1544.5257389723388
90,Nott'm Forest,ENG2,1514.702960219311,18,16,12,Leeds,1549.719652335466
91,Fuenlabrada,ESP2,1514.4567222825522,15,15,12,Cadiz,1575.2955133510834
92,Zaragoza,ESP2,1514.0942956284932,18,11,13,Elche,1524.1564603269117
93,Alcorcon,ESP2,1513.9169700299296,13,18,11,Zaragoza,1564.9434000611386
94,Cittadella,ITA2,1513.472392822088,17,7,14,Frosinone,1543.2861038326664
95,Malaga,ESP2,1513.1852109644344,11,20,11,Cadiz,1560.1150750550216
96,Almeria,ESP2,1512.6797014209737,17,13,12,Zaragoza,1561.4360197720878
97,Las Palmas,ESP2,1512.4210032894593,14,15,13,Almeria,1535.2521046735333
