season,rank,team,league,elo,wins,draws,losses,games,best_win_name,best_win_elo
2017,3,Juventus,ITA 1st,1856.86297907932,30,5,3,38,Napoli,1793.04851523402
2017,12,Napoli,ITA 1st,1752.3351087742,28,7,3,38,Juventus,1869.61953012377
2017,25,Roma,ITA 1st,1688.8856884513,23,8,7,38,Napoli,1815.58805924001
2017,35,Inter,ITA 1st,1650.35343561603,20,12,6,38,Roma,1696.18644928966
2017,37,Lazio,ITA 1st,1642.47657404967,21,9,8,38,Juventus,1865.58948155147
2017,47,Milan,ITA 1st,1607.48470033793,18,10,10,38,Lazio,1684.7891247823
2017,59,Atalanta,ITA 1st,1583.17901465534,16,12,10,38,Roma,1692.44715049573
2017,81,Torino,ITA 1st,1553.52810935677,13,15,10,38,Lazio,1679.02855139348
2017,89,Fiorentina,ITA 1st,1538.77352942671,16,9,13,38,Napoli,1786.30725220872
2017,171,Sampdoria,ITA 1st,1443.44489138206,16,6,16,38,Juventus,1861.46862757095
2017,185,Spal,ITA 1st,1432.98380107016,8,14,16,38,Udinese,1489.6027922916
2017,200,Genoa,ITA 1st,1417.45879426241,11,8,19,38,Lazio,1670.05341871542
2017,202,Sassuolo,ITA 1st,1415.6114655241,11,10,17,38,Inter,1698.98039265441
2017,211,Chievo,ITA 1st,1401.59257997902,10,10,18,38,Fiorentina,1527.31825905433
2017,212,Crotone,ITA 1st,1400.02673085962,9,8,21,38,Sampdoria,1550.37268231832
2017,224,Bologna,ITA 1st,1387.79501245336,11,6,21,38,Sampdoria,1575.8928567332
2017,232,Udinese,ITA 1st,1377.32896960511,12,4,22,38,Inter,1727.15150564858
2017,233,Cagliari,ITA 1st,1376.34136543985,11,6,21,38,Atalanta,1599.83444207493
2017,264,Benevento,ITA 1st,1245.22025606453,6,3,29,38,Milan,1591.6296237808
2017,267,Verona,ITA 1st,1228.31699361249,7,4,27,38,Milan,1568.55858517029
