rank,team,elo,wins,losses,best_win_name,best_win_elo
1,Birmingham,1668.613362508287,38.5,7.5,Wycombe,1579.2043085232895
2,Burnley,1660.3868496853609,36,10,Sheffield United,1596.090423919778
3,Paris SG,1649.0105316260538,29,5,Marseille,1556.905233973504
4,Leeds,1646.3115751436155,35.5,10.5,Sheffield United,1606.3419437951454
5,Sp Lisbon,1646.2936540108228,28.5,5.5,Benfica,1587.0266558274332
6,Bayern Munich,1645.1345138415443,28.5,5.5,Ein Frankfurt,1557.7472271315198
7,Barcelona,1642.8102972402137,30,8,Real Madrid,1617.3395364723453
8,Benfica,1634.73284456089,27.5,6.5,Porto,1575.7208657722852
9,PSV Eindhoven,1626.4894351287192,27,7,Feyenoord,1605.0188068160528
10,Real Madrid,1626.0245572433307,29,9,Ath Bilbao,1576.4166559718924
11,Napoli,1619.0032738635048,29,9,Atalanta,1581.4369185054486
12,Ajax,1617.7897350642031,27,7,PSV Eindhoven,1587.018360315073
13,Inter,1616.2374708565565,28.5,9.5,Atalanta,1591.2021127236728
14,Liverpool,1614.0254916525705,29.5,8.5,Bournemouth,1556.9697071121593
15,Wrexham,1607.928073272579,32.5,13.5,Charlton,1595.407116955779
16,Sassuolo,1602.958517386713,28.5,9.5,Pisa,1581.5003373914396
17,Stockport,1601.8335244073473,31,15,Wycombe,1567.890550571907
18,Levante,1598.1409770918149,28.5,13.5,Elche,1589.397748186037
19,Leverkusen,1597.2305519164872,25,9,Ein Frankfurt,1549.5622484896628
20,Lorient,1596.062179893456,24.5,9.5,Paris FC,1554.2656063197383
21,Roma,1595.627689302119,24.5,13.5,Inter,1608.9084997775788
22,Arsenal,1594.6077168181062,27,11,Newcastle,1571.7208833518864
23,Charlton,1592.505338400572,30,16,Wycombe,1586.8192462019515
24,Paris FC,1589.4312882449874,24,10,Lorient,1581.073086116264
25,Porto,1587.8883979689394,24.5,9.5,Guimaraes,1527.7629859416322
26,Feyenoord,1587.5292485890623,24,10,Utrecht,1560.5562485736543
27,Ath Madrid,1587.4918301188793,27,11,Ath Bilbao,1575.1553592075204
28,Villarreal,1586.3923549769486,25,13,Barcelona,1646.2292797361954
29,Sheffield United,1585.0288360387015,32,14,Sunderland,1550.0206284322662
30,Juventus,1584.4289498168864,26,12,Inter,1603.1728127862452
31,Sp Braga,1583.7797300389705,23.5,10.5,Benfica,1577.1318453665485
32,Man City,1583.5301840821396,25,13,Aston Villa,1560.6663142081786
33,Ath Bilbao,1583.506962600905,25.5,12.5,Real Madrid,1578.969472035075
34,Elche,1582.4931421216536,27.5,14.5,Santander,1544.7784929296959
35,Atalanta,1581.1355131813123,26,12,Juventus,1590.0858899235004
36,Metz,1580.06123484832,23.5,10.5,Dunkerque,1546.645284326021
37,Pisa,1579.3435252909212,26,12,Sassuolo,1593.7184963549055
38,Oviedo,1579.2655461188797,27,15,Levante,1579.0748764367668
39,Mirandes,1567.70666124651,26.5,15.5,Santander,1577.3009864271505
40,Chelsea,1567.530498561179,24.5,13.5,Liverpool,1643.4954998483681
41,Utrecht,1566.195431831962,23,11,Ajax,1643.164486174238
42,Marseille,1564.2696050784382,22.5,11.5,Monaco,1547.5854079269275
43,Aston Villa,1560.9918599415191,23.5,14.5,Nott'm Forest,1571.9037477585337
44,Nice,1560.9812231874203,21.5,12.5,Paris SG,1665.5709487835798
45,Wycombe,1559.5526277098195,30,16,Lincoln,1528.0916209407446
46,Leyton Orient,1559.0197736259934,27,19,Wycombe,1577.8082864758117
47,Elversberg,1558.6311565400329,21,13,Hamburg,1536.959034623524
48,FC Koln,1557.7819201167717,21.5,12.5,Paderborn,1545.6093738531054
49,Ein Frankfurt,1555.2880002316695,21.5,12.5,Freiburg,1544.6031708468045
50,Strasbourg,1554.7141908210895,20.5,13.5,Paris SG,1652.2188339621305
51,Lille,1554.223586876272,21.5,12.5,Nice,1544.356817170687
52,Monaco,1553.6402373040826,21.5,12.5,Nice,1559.1585594394332
53,Dortmund,1553.4649963238462,20,14,Leverkusen,1611.5781771053255
54,Lazio,1552.7599243401378,23.5,14.5,Atalanta,1570.0981896007352
55,Hamburg,1551.7760333686697,21.5,12.5,Kaiserslautern,1548.6286713136026
56,Spezia,1550.3350246453954,24.5,13.5,Sassuolo,1601.3974460074974
57,Newcastle,1550.260892863225,23,15,Chelsea,1560.8051254638024
58,Fiorentina,1548.1763049504289,23,15,Inter,1606.1995048031156
59,Brighton,1547.0442134133198,22.5,15.5,Liverpool,1629.3580168827289
60,Milan,1546.5819659420256,22.5,15.5,Bologna,1575.8824665243449
61,Cremonese,1545.8592251793389,22.5,15.5,Spezia,1553.6424249889621
62,AZ Alkmaar,1544.181349699528,20.5,13.5,Ajax,1575.6887381027398
63,Almeria,1543.976534732886,25,17,Levante,1575.7644387272244
64,Betis,1542.6873717430633,22,16,Real Madrid,1590.9924388459453
65,Bologna,1541.1677458496667,23,15,Inter,1620.4136328348923
66,Lyon,1540.89823087307,20,14,Nice,1572.2971225937276
67,Reading,1539.045422531448,27,19,Wrexham,1575.6951179648627
68,Guimaraes,1537.3812387675218,20,14,Famalicao,1527.7213008493763
69,Santander,1537.1910592300112,25.5,16.5,Elche,1560.1679192384577
70,Nott'm Forest,1537.122455683373,23,15,Man City,1541.5693845567296
71,Santa Clara,1537.004940584276,20,14,Sp Lisbon,1591.3427165482271
72,Freiburg,1534.6234659326262,19.5,14.5,M'gladbach,1526.5147866830587
73,Bristol City,1532.2286666591276,25.5,20.5,Sunderland,1563.6842391922155
74,Blackpool,1531.955296140537,25,21,Reading,1544.1780167117236
75,Paderborn,1531.842744138201,20,14,Hamburg,1561.5132069156039
76,Crystal Palace,1530.9688642542214,20,18,Brighton,1534.0307662637742
77,Coventry,1530.349511660015,24.5,21.5,Sunderland,1572.6133034953407
78,Granada,1527.0248936043145,23.5,18.5,Santander,1566.508464897185
79,Fortuna Dusseldorf,1526.0925832228393,19.5,14.5,Paderborn,1524.402117898526
80,Guingamp,1525.5526204507441,19,15,Annecy,1539.780836994572
81,Mainz,1524.9015699336053,19,15,Bayern Munich,1583.1328554033817
82,Millwall,1524.156618666379,24,22,Sheffield United,1609.0575427661968
83,Magdeburg,1523.760489390996,19.5,14.5,FC Koln,1558.6170307455093
84,Twente,1523.1246051478738,19.5,14.5,Utrecht,1581.972160892991
85,Karlsruhe,1522.4958158399425,19,15,Hamburg,1560.8946062413743
86,Catanzaro,1521.867659327295,21,17,Sassuolo,1628.7465274303872
87,Werder Bremen,1521.8107786250368,18.5,15.5,Leverkusen,1609.80447352654
88,Dunkerque,1521.6690100521337,19.5,14.5,Paris FC,1556.6044558532774
89,Kaiserslautern,1521.3231007655877,19,15,Fortuna Dusseldorf,1541.6432166717518
90,Hannover,1521.315962296424,19,15,FC Koln,1554.5262786533503
91,Brentford,1520.5383265050432,20,18,Nott'm Forest,1556.0984871845037
92,Sunderland,1519.1768713007027,27.5,18.5,Sheffield United,1584.2829534586767
93,Osasuna,1517.8565499916776,20,18,Ath Madrid,1584.304203817238
94,Lens,1517.7219847763497,18.5,15.5,Marseille,1569.2299116042989
95,Go Ahead Eagles,1515.761629776805,18.5,15.5,PSV Eindhoven,1585.4266903895955
96,Celta,1515.0844418297681,19.5,18.5,Villarreal,1547.2528636581517
97,Bastia,1514.6004386298755,18.5,15.5,Dunkerque,1537.8646338042818
98,RB Leipzig,1514.1806966088532,19,15,Ein Frankfurt,1551.0105739874716
99,Juve Stabia,1513.6856867211088,20.5,17.5,Pisa,1536.74331247657
100,Huesca,1513.3372063128731,23,19,Elche,1579.2450937186677
101,Bournemouth,1513.2362802544346,20.5,17.5,Arsenal,1592.0123213545023
102,Everton,1512.906287693842,18.5,19.5,Newcastle,1561.9937790804242
103,Annecy,1512.8963924990649,18.5,15.5,Laval,1535.4158542722082
104,Laval,1511.972687862923,18,16,Lorient,1585.6961094168628
105,Albacete,1510.8789420686865,21.5,20.5,Almeria,1567.18870037856
106,Vallecano,1510.652183315682,19.5,18.5,Celta,1516.8598855688733
107,Cesena,1510.52694749211,19.5,18.5,Cremonese,1523.6524909076863
108,Brest,1509.3633477657295,17.5,16.5,Lille,1558.8123717735023
109,Eibar,1509.1920237091722,21.5,20.5,Almeria,1542.5606992917026
110,Stuttgart,1508.0577795452693,18,16,RB Leipzig,1538.9103307160865
111,Estoril,1507.1111566531072,17,17,Santa Clara,1527.852546075317
112,Famalicao,1505.9554760677047,17.5,16.5,Estoril,1514.1587443814967
113,Palermo,1504.6581907757732,19,19,Sassuolo,1624.8658759641994
114,West Brom,1502.8745570765068,24.5,21.5,Sheffield Weds,1510.414660794676
115,Como,1502.1266807913664,18,20,Napoli,1605.1797301904955
116,Fulham,1501.8655149791978,19.5,18.5,Liverpool,1642.820219595842
117,Valencia,1499.8217578149806,17.5,20.5,Real Madrid,1601.218476217973
118,Swansea,1499.3599161704972,22,24,Sunderland,1575.7537746960643
119,Nurnberg,1499.110200327512,17,17,Magdeburg,1545.099572633608
120,Cadiz,1498.7387187423287,20.5,21.5,Mirandes,1546.8693729365277
121,Bolton,1498.522516165274,24,22,Birmingham,1637.1391908116832
122,Cordoba,1497.9995868041735,20.5,21.5,Oviedo,1538.5443362584986
123,Blackburn,1495.9803405238426,23.5,22.5,Leeds,1563.509100336485
124,Troyes,1494.6443024804678,15.5,18.5,Dunkerque,1534.140490041506
125,Bari,1493.2796399086617,19,19,Pisa,1584.4659929647742
126,Lincoln,1492.676887618844,22.5,23.5,Reading,1548.350222315726
127,Grenoble,1492.5801066389793,16.5,17.5,Metz,1524.6491037767514
128,Sp Gijon,1491.9410285424253,21,21,Mirandes,1541.297569211102
129,Zwolle,1491.8200173853722,15.5,18.5,PSV Eindhoven,1599.090488899343
130,Sudtirol,1491.0669503368076,17,21,Juve Stabia,1529.1109911016995
131,Nijmegen,1491.027922742247,15.5,18.5,Ajax,1627.7786309255298
132,Wigan,1490.9995585002735,21.5,24.5,Huddersfield,1536.87863186598
133,Burgos,1490.397445910959,20,22,Santander,1555.7379871231199
134,Hertha,1489.5854750222252,16,18,FC Koln,1561.3753228750465
135,Frosinone,1487.5803875415695,17,21,Sassuolo,1616.1322066401729
136,Casa Pia,1487.537055807041,16.5,17.5,Sp Braga,1594.7316678036798
137,Rotherham,1486.9485394864373,21.5,24.5,Blackpool,1543.80752119046
138,La Coruna,1485.864501579262,20,22,Oviedo,1555.8175728326346
139,Malaga,1485.679875792659,20.5,21.5,Granada,1541.0357569081739
140,Middlesbrough,1484.3125022714023,23,23,Sheffield United,1541.0527221828331
141,Heerenveen,1484.219372791677,15.5,18.5,PSV Eindhoven,1604.335028432358
142,Sparta Rotterdam,1483.9243294379257,15,19,AZ Alkmaar,1545.012815948821
143,Ajaccio,1483.7110247761595,15,19,Lorient,1603.0631389391049
144,Augsburg,1483.2113930958008,16,18,Wolfsburg,1528.781785185927
145,QPR,1482.9163454183538,21,25,Sunderland,1530.2595301815825
146,Auxerre,1482.4994155440384,15.5,18.5,Marseille,1574.470216406146
147,Pau FC,1481.7387824728157,16,18,Metz,1586.6173366903326
148,Castellon,1480.9666535360361,19.5,22.5,Almeria,1534.320499213283
149,Rodez,1480.851027351161,15,19,Dunkerque,1558.6172522824304
150,Carrarese,1479.9696540656457,17,21,Pisa,1557.3225032852263
151,Toulouse,1479.4591122085246,15.5,18.5,Lens,1524.053515717655
152,Arouca,1479.3672458351766,14.5,19.5,Santa Clara,1542.6061171000238
153,Mantova,1479.073099511302,17,21,Cittadella,1509.9572776772266
154,Darmstadt,1478.9738097979916,15.5,18.5,Kaiserslautern,1536.7087126754163
155,Wolfsburg,1478.6107235461645,16,18,RB Leipzig,1530.7340358914196
