rank,team,league,elo,wins,draws,losses,best_win_name,best_win_elo
78,Crystal Palace,ENG2,1523.5847839306064,19,15,12,Hull,1564.47505871316
79,Nimes,FRA2,1522.8700291769621,17,7,14,Nantes,1562.0547651172633
80,Charlton,ENG2,1522.3287453587513,17,14,15,Leicester,1545.0846200128105
81,Milton Keynes Dons,ENG3,1522.2648130261064,19,13,14,Brentford,1573.1921354500814
82,Freiburg,GER,1521.7895390652752,14,9,11,M'gladbach,1525.760495342584
83,Crawley Town,ENG3,1521.6361185215185,18,14,14,Sheffield United,1562.1016338725246
84,Sp Lisbon,POR,1518.2725472451225,11,9,10,Sp Braga,1550.516793351272
85,Lazio,ITA,1517.4946300860656,18,7,13,Inter,1558.5871716583788
86,Bordeaux,FRA,1517.0101871643933,13,16,9,Nice,1548.4758428245123
87,Munich 1860,GER2,1516.9768006916183,12,13,9,Braunschweig,1598.2763709670191
88,Real Madrid B,ESP2,1515.801859793588,17,8,17,Almeria,1545.4727088222264
89,Nott'm Forest,ENG2,1515.359266402226,17,16,13,Hull,1562.3814137731076
90,Bari,ITA2,1515.1576069911448,16,12,14,Empoli,1564.5838708453575
91,Catania,ITA,1514.7220794991401,15,11,12,Fiorentina,1534.0914558795969
92,Union Berlin,GER2,1514.0830899901575,13,10,11,Kaiserslautern,1550.7992348673476
93,Notts County,ENG3,1511.1884665881976,16,17,13,Doncaster,1568.2347524290292
94,Malaga,ESP,1510.6219771278204,16,9,13,Real Madrid,1562.2278149237757
95,Birmingham,ENG2,1510.5739988161426,15,16,15,Crystal Palace,1551.0509263170065
96,Ipswich,ENG2,1509.2757886317745,16,12,18,Millwall,1541.874810541424
97,Ein Frankfurt,GER,1507.6022037040063,14,9,11,Schalke 04,1526.486947841803
98,Coventry,ENG3,1507.5050898772145,18,11,17,Tranmere,1566.7309029965438
99,Cottbus,GER2,1507.3891037154447,12,12,10,Braunschweig,1578.3703724724749
100,Wolfsburg,GER,1506.7693959371788,10,13,11,Dortmund,1543.0596646170613
101,Duisburg,GER2,1505.8289599658115,11,10,13,Braunschweig,1586.130756612906
102,Nacional,POR,1505.4267088505076,11,7,12,Sp Braga,1540.6634143774459
103,Betis,ESP,1505.129337157516,16,8,14,Real Madrid,1557.2136405801607
104,Mirandes,ESP2,1504.0866701219693,13,13,16,Elche,1614.953517762445
105,Varese,ITA2,1504.0760543416548,16,13,13,Brescia,1525.5762042974413
106,Ternana,ITA2,1503.749088547492,12,17,13,Modena,1519.9920949944471
107,Leicester,ENG2,1503.4741308917303,19,11,16,Bolton,1536.8568652750434
108,Numancia,ESP2,1503.3662137439062,13,16,13,Elche,1601.9055579251524
109,M'gladbach,GER,1502.957765593688,12,11,11,Ein Frankfurt,1545.8370484102222
110,Hamburg,GER,1500.5880854028192,14,6,14,Dortmund,1565.6000366137819
111,Tours,FRA2,1500.5776915623844,12,13,13,Guingamp,1562.0978280269037
112,Crewe,ENG3,1500.5133367718452,18,10,18,Sheffield United,1548.3987017168336
113,Crotone,ITA2,1500.389514909606,14,13,15,Sassuolo,1592.1317629553118
114,Lugo,ESP2,1499.048658441539,15,11,16,Elche,1564.64715763125
115,Toulouse,FRA,1498.7404821609566,13,12,13,Lille,1560.02897166567
116,Arles,FRA2,1497.8623606366384,10,16,12,Dijon,1551.4711043605073
117,Rio Ave,POR,1497.8508545005463,12,6,12,Guimaraes,1501.1614092489435
118,Blackpool,ENG2,1497.77734962949,14,17,15,Watford,1574.5079105670893
119,Nurnberg,GER,1497.6664688716512,11,11,12,M'gladbach,1526.2418219664767
120,Aalen,GER2,1497.661021123364,12,10,12,Kaiserslautern,1540.1988996064506
121,Cagliari,ITA,1497.520396296892,12,11,15,Fiorentina,1548.698108817561
122,St Pauli,GER2,1497.2232230381012,11,10,13,Braunschweig,1583.9248468717715
123,Preston,ENG3,1496.1692207055307,14,17,15,Bournemouth,1577.8113524188752
124,Lorient,FRA,1495.976600644648,14,11,13,St Etienne,1564.2671612489328
125,Burnley,ENG2,1495.6567337672452,16,13,17,Crystal Palace,1556.8681016927906
126,Maritimo,POR,1495.1720170126862,9,11,10,Guimaraes,1511.3295157962107
127,Sheffield Weds,ENG2,1494.9397671209947,16,10,20,Hull,1561.3538922508076
128,Derby,ENG2,1493.2163253170716,16,13,17,Middlesbrough,1549.1982775960857
129,Modena,ITA2,1492.7112013901615,15,12,15,Sassuolo,1598.3054331069245
130,Sp Gijon,ESP2,1492.3394356624476,15,11,16,Villarreal,1542.446372085487
131,Virtus Lanciano,ITA2,1492.3115920905213,9,21,12,Varese,1536.4102478929672
132,Guimaraes,POR,1491.3014578930572,11,7,12,Academica,1510.2020425704575
133,Barnsley,ENG2,1491.0170826560568,14,13,19,Watford,1562.2450788252108
134,Shrewsbury,ENG3,1490.079199459472,13,16,17,Tranmere,1544.109639461984
135,Sevilla,ESP,1488.853096873934,14,8,16,Valencia,1570.9936218687874
136,Auxerre,FRA2,1488.5891517872947,13,10,15,Guingamp,1562.9123939083074
137,Peterboro,ENG2,1488.0653744221643,15,9,22,Cardiff,1585.0627980041404
138,Reggina,ITA2,1488.0250540585698,12,15,15,Pro Vercelli,1509.5
139,Vallecano,ESP,1487.5174806068935,16,5,17,Ath Madrid,1583.9931335782535
140,Hannover,GER,1486.0916628417785,13,6,15,Leverkusen,1554.1059958880908
141,Heerenveen,NED,1485.579116285279,11,9,14,Feyenoord,1587.6483066276767
142,Groningen,NED,1485.5416210451351,12,7,15,Heerenveen,1516.7769025504224
143,Hercules,ESP2,1485.3493039637312,13,11,18,Alcorcon,1535.6057525866256
144,Barcelona B,ESP2,1484.644125781122,15,12,15,Villarreal,1524.1371279359455
145,Valenciennes,FRA,1484.5749199180684,12,12,14,Marseille,1554.3554265371156
146,Leeds,ENG2,1484.4633080792928,17,10,19,Crystal Palace,1570.1334006362654
147,Montpellier,FRA,1484.3084389115306,15,7,16,Bordeaux,1544.9070598325945
148,Guadalajara,ESP2,1484.0089000441612,12,14,16,Las Palmas,1552.1974867317917
149,Parma,ITA,1483.9696099495586,13,10,15,Inter,1551.4637387789794
150,Spezia,ITA2,1483.7025351186755,12,15,15,Empoli,1571.4109773652021
151,Huddersfield,ENG2,1483.6947974963714,15,13,18,Crystal Palace,1544.1557963681305
152,Padova,ITA2,1483.4246986250887,12,17,13,Verona,1561.82874306986
153,Bastia,FRA,1482.2902322712189,13,8,17,Lyon,1564.176313778775
154,Clermont,FRA2,1481.731960176459,9,16,13,Nantes,1566.3290694657405
155,Blackburn,ENG2,1481.4516606696036,14,16,16,Nott'm Forest,1520.9645655237646
156,Stuttgart,GER,1480.783724909021,12,7,15,Ein Frankfurt,1543.4748243144745
157,Cesena,ITA2,1480.2344563641466,12,14,16,Varese,1526.2387774360361
