"team","rating","wins","losses","season"
"Boston Red Sox",1669.27189191789,97,65,2013
"Oakland Athletics",1640.56299991178,96,66,2013
"Cleveland Indians",1637.53523785981,92,70,2013
"St. Louis Cardinals",1631.51007947078,97,65,2013
"Texas Rangers",1584.98854852213,91,72,2013
"Washington Nationals",1571.08681171751,86,76,2013
"Kansas City Royals",1563.68997505634,86,76,2013
"Tampa Bay Rays",1562.32929582336,92,71,2013
"Milwaukee Brewers",1557.61613428025,74,88,2013
"Pittsburgh Pirates",1549.72503371767,94,68,2013
"Los Angeles Angels",1546.54797542533,78,84,2013
"Baltimore Orioles",1523.73039880814,85,77,2013
"Atlanta Braves",1522.50668990129,97,66,2013
"San Francisco Giants",1519.70002241199,76,86,2013
"Los Angeles Dodgers",1512.42033097084,92,70,2013
"Toronto Blue Jays",1512.22822645686,74,88,2013
"Detroit Tigers",1511.19340918867,93,69,2013
"San Diego Padres",1509.80945100077,76,86,2013
"Cincinnati Reds",1495.94405431853,91,72,2013
"New York Yankees",1479.80617269221,85,77,2013
"New York Mets",1460.64488207528,74,89,2013
"Miami Marlins",1455.58337225922,62,100,2013
"Seattle Mariners",1455.27833898711,71,91,2013
"Arizona Diamondbacks",1421.82141999167,81,81,2013
"Colorado Rockies",1421.5007405048,74,88,2013
"Chicago White Sox",1391.93192847225,63,99,2013
"Chicago Cubs",1357.7541874786,66,96,2013
"Philadelphia Phillies",1356.9078102114,73,90,2013
"Minnesota Twins",1295.15967655387,66,96,2013
"Houston Astros",1281.21490401367,51,111,2013
